t_s,fps,worst_frame_ms,thermal
1,60.4,19.51,nominal
2,60.0,16.86,nominal
3,60.0,17.12,nominal
4,60.0,16.97,nominal
5,60.0,16.84,nominal
6,60.0,16.97,nominal
7,54.1,16.85,nominal
8,57.0,32.78,nominal
9,40.3,33.44,nominal
10,53.2,33.08,nominal
11,60.0,0.75,nominal
12,60.0,17.17,nominal
13,58.0,16.28,nominal
14,60.0,0.82,nominal
15,60.0,0.49,nominal
16,60.0,0.63,nominal
17,60.0,0.66,nominal
18,60.0,0.45,nominal
19,60.0,0.43,nominal
20,60.0,0.49,nominal
21,60.0,0.46,nominal
22,60.0,0.53,nominal
23,60.0,0.51,nominal
24,60.0,0.39,nominal
25,60.0,0.36,nominal
26,60.0,0.50,nominal
27,60.0,0.58,nominal
28,60.0,0.43,nominal
29,60.0,0.50,nominal
30,60.0,0.57,nominal
32,60.0,0.46,nominal
33,60.0,0.52,nominal
34,60.0,0.41,nominal
35,60.0,0.53,nominal
36,60.0,0.46,nominal
37,60.0,0.42,nominal
38,60.0,0.68,nominal
39,60.0,0.65,nominal
40,60.0,0.46,nominal
41,60.0,0.61,nominal
42,60.0,0.46,nominal
43,60.0,0.68,nominal
44,60.0,0.63,nominal
45,60.0,0.48,nominal
46,60.0,0.50,nominal
47,60.0,0.56,nominal
48,60.0,0.70,nominal
49,60.0,0.49,nominal
50,60.0,0.65,nominal
51,60.0,0.53,nominal
52,60.0,0.53,nominal
53,60.0,0.69,nominal
54,60.0,0.67,nominal
55,60.0,0.59,nominal
56,60.0,0.52,nominal
57,60.0,0.59,nominal
58,60.0,0.72,nominal
59,60.0,0.77,nominal
60,60.0,0.54,nominal
61,60.0,0.57,nominal
62,60.0,0.49,nominal
63,60.0,0.79,nominal
64,60.0,0.49,nominal
65,60.0,0.62,nominal
66,60.0,0.52,nominal
67,60.0,0.59,nominal
68,60.0,0.59,nominal
69,60.0,0.42,nominal
70,60.0,0.53,nominal
71,60.0,0.46,nominal
72,60.0,0.51,nominal
73,60.0,0.71,nominal
74,60.0,0.45,nominal
75,60.0,0.51,nominal
76,60.0,0.50,nominal
77,60.0,0.45,nominal
78,60.0,0.66,nominal
79,60.0,0.43,nominal
80,60.0,0.78,nominal
81,60.0,0.49,nominal
82,60.0,0.78,nominal
83,60.0,0.54,nominal
84,60.0,0.55,nominal
85,60.0,0.60,nominal
86,60.0,0.47,nominal
87,60.0,0.65,nominal
88,60.0,0.47,nominal
89,60.0,0.48,nominal
90,60.0,0.61,nominal
91,60.0,0.47,nominal
93,60.0,0.74,nominal
94,60.0,0.51,nominal
95,60.0,0.43,nominal
96,60.0,0.59,nominal
97,60.0,0.52,nominal
98,60.0,0.74,nominal
99,60.0,0.71,nominal
100,60.0,0.45,nominal
101,60.0,0.50,nominal
102,60.0,0.51,nominal
103,60.0,0.80,nominal
104,60.0,0.62,nominal
105,60.0,0.83,nominal
106,60.0,0.51,nominal
107,60.0,0.60,nominal
108,60.0,0.59,nominal
109,60.0,0.50,nominal
110,60.0,0.51,nominal
111,60.0,0.53,nominal
112,60.0,0.51,nominal
113,60.0,0.73,nominal
114,60.0,0.63,nominal
115,60.0,0.71,nominal
116,60.0,0.65,nominal
117,60.0,0.50,nominal
118,60.0,0.61,nominal
119,60.0,0.49,nominal
120,60.0,0.38,nominal
121,60.0,0.75,nominal
122,60.0,0.71,nominal
123,60.0,0.52,nominal
124,60.0,0.77,nominal
125,60.0,0.54,nominal
126,60.0,0.62,nominal
127,60.0,0.71,nominal
128,60.0,0.81,nominal
129,60.0,0.46,nominal
130,60.0,0.39,nominal
131,60.0,0.46,nominal
132,60.0,0.47,nominal
133,60.0,0.71,nominal
134,60.0,0.70,nominal
135,60.0,0.47,nominal
136,60.0,0.55,nominal
137,60.0,0.56,nominal
138,60.0,0.79,nominal
139,60.0,0.44,nominal
140,60.0,0.49,nominal
141,60.0,0.48,nominal
142,60.0,0.48,nominal
143,60.0,0.64,nominal
144,60.0,0.42,nominal
145,60.0,0.40,nominal
146,60.0,0.50,nominal
147,60.0,0.57,nominal
148,60.0,0.51,nominal
149,60.0,0.73,nominal
150,60.0,0.49,nominal
151,60.0,0.50,nominal
152,60.0,0.48,nominal
154,60.0,0.73,nominal
155,60.0,0.46,nominal
156,60.0,0.60,nominal
157,60.0,0.60,nominal
158,60.0,0.63,nominal
159,60.0,0.79,nominal
160,60.0,0.50,nominal
161,60.0,0.41,nominal
162,60.0,0.52,nominal
163,60.0,0.54,nominal
164,60.0,0.81,nominal
165,60.0,0.45,nominal
166,60.0,0.64,nominal
167,60.0,0.49,nominal
168,60.0,0.56,nominal
169,60.0,0.43,nominal
170,60.0,0.57,nominal
171,60.0,0.43,nominal
172,60.0,0.52,nominal
173,60.0,0.80,nominal
174,60.0,0.63,nominal
175,60.0,0.49,nominal
176,60.0,0.48,nominal
177,60.0,0.50,nominal
178,60.0,0.67,nominal
179,60.0,0.78,nominal
180,60.0,0.44,nominal
181,60.0,0.59,nominal
182,60.0,0.57,nominal
183,60.0,0.56,nominal
184,60.0,0.54,nominal
185,60.0,0.48,nominal
186,60.0,0.48,nominal
187,60.0,0.57,nominal
188,60.0,0.70,nominal
189,60.0,0.47,nominal
190,60.0,0.45,nominal
191,60.0,0.70,nominal
192,60.0,0.54,nominal
193,60.0,0.50,nominal
194,60.0,0.70,nominal
195,60.0,0.46,nominal
196,60.0,0.41,nominal
197,60.0,0.43,nominal
198,60.0,0.70,nominal
199,60.0,0.40,nominal
200,60.0,0.49,nominal
201,60.0,0.71,nominal
202,60.0,0.58,nominal
203,60.0,0.49,nominal
204,60.0,0.41,nominal
205,60.0,0.44,nominal
206,60.0,0.50,nominal
207,60.0,0.46,nominal
208,60.0,0.63,nominal
209,60.0,0.37,nominal
210,60.0,0.45,nominal
211,60.0,0.43,nominal
212,60.0,0.43,nominal
213,60.0,0.65,nominal
215,60.0,0.48,nominal
216,60.0,0.55,nominal
217,60.0,0.46,nominal
218,60.0,0.57,nominal
219,60.0,0.71,nominal
220,60.0,0.34,nominal
221,60.0,0.36,nominal
222,60.0,0.57,nominal
223,60.0,0.48,nominal
224,60.0,0.67,nominal
225,60.0,0.41,nominal
226,60.0,0.70,nominal
227,60.0,0.44,nominal
228,60.0,0.45,nominal
229,60.0,0.58,nominal
230,60.0,0.34,nominal
231,60.0,0.33,nominal
232,60.0,0.30,nominal
233,60.0,0.37,nominal
234,60.0,0.47,nominal
235,60.0,0.49,nominal
236,60.0,0.44,nominal
237,60.0,0.35,nominal
238,60.0,0.41,nominal
239,60.0,0.69,nominal
240,60.0,0.43,nominal
241,60.0,0.30,nominal
242,60.0,0.43,nominal
243,60.0,0.51,nominal
244,60.0,0.54,nominal
245,60.0,0.49,nominal
246,60.0,0.52,nominal
247,60.0,0.47,nominal
248,60.0,0.46,nominal
249,60.0,0.58,nominal
250,60.0,0.39,nominal
251,60.0,0.52,nominal
252,60.0,0.49,nominal
253,60.0,0.68,nominal
254,60.0,0.65,nominal
255,60.0,0.48,nominal
256,60.0,0.49,nominal
257,60.0,0.45,nominal
258,60.0,0.74,nominal
259,60.0,0.40,nominal
260,60.0,0.54,nominal
261,60.0,0.44,nominal
262,60.0,0.54,nominal
263,60.0,0.70,nominal
264,60.0,0.42,nominal
265,60.0,0.49,nominal
266,60.0,0.48,nominal
267,60.0,0.50,nominal
268,60.0,0.54,nominal
269,60.0,0.41,nominal
270,60.0,0.45,nominal
271,60.0,0.49,nominal
272,60.0,0.49,nominal
273,60.0,0.75,nominal
274,60.0,0.40,nominal
275,60.0,0.52,nominal
277,60.0,0.40,nominal
278,60.0,0.53,nominal
279,60.0,0.60,nominal
280,60.0,0.41,nominal
281,60.0,0.46,nominal
282,60.0,0.47,nominal
283,60.0,0.44,nominal
284,60.0,0.61,nominal
285,60.0,0.45,nominal
286,60.0,0.58,nominal
287,60.0,0.50,nominal
288,60.0,0.43,nominal
289,60.0,0.63,nominal
290,60.0,0.38,nominal
291,60.0,0.48,nominal
292,60.0,0.54,nominal
293,60.0,0.46,nominal
294,60.0,0.61,nominal
295,60.0,0.45,nominal
296,60.0,0.47,nominal
297,60.0,0.41,nominal
298,60.0,0.49,nominal
299,60.0,0.63,nominal
300,60.0,0.69,nominal
301,60.0,0.25,nominal
302,60.0,0.23,nominal
303,60.0,0.57,nominal
304,60.0,0.35,nominal
305,60.0,0.39,nominal
306,60.0,0.32,nominal
307,60.0,0.40,nominal
308,60.0,0.55,nominal
309,60.0,0.68,nominal
310,60.0,0.50,nominal
311,60.0,0.45,nominal
312,60.0,0.47,nominal
313,60.0,0.45,nominal
314,60.0,0.45,nominal
315,60.0,0.35,nominal
316,60.0,0.38,nominal
317,60.0,0.49,nominal
318,60.0,0.44,nominal
319,60.0,0.55,nominal
320,60.0,0.63,nominal
321,60.0,0.32,nominal
322,60.0,0.36,nominal
323,60.0,0.57,nominal
324,60.0,0.57,nominal
325,60.0,0.36,nominal
326,60.0,0.60,nominal
327,60.0,0.62,nominal
328,60.0,0.35,nominal
329,60.0,0.52,nominal
330,60.0,0.47,nominal
331,60.0,0.59,nominal
332,60.0,0.53,nominal
333,60.0,0.56,nominal
334,60.0,0.47,nominal
335,60.0,0.41,nominal
336,60.0,0.43,nominal
338,60.0,0.75,nominal
339,60.0,0.64,nominal
340,60.0,0.31,nominal
341,60.0,0.45,nominal
342,60.0,0.31,nominal
343,60.0,0.47,nominal
344,60.0,0.53,nominal
345,60.0,0.34,nominal
346,60.0,0.48,nominal
347,60.0,0.52,nominal
348,60.0,0.60,nominal
349,60.0,0.51,nominal
350,60.0,0.36,nominal
351,60.0,0.53,nominal
352,60.0,0.44,nominal
353,60.0,0.46,nominal
354,60.0,0.58,nominal
355,60.0,0.43,nominal
356,60.0,0.39,nominal
357,60.0,0.41,nominal
358,60.0,0.40,nominal
359,60.0,0.58,nominal
360,60.0,0.80,nominal
361,60.0,0.53,nominal
362,60.0,0.49,nominal
363,60.0,0.66,nominal
364,60.0,0.64,nominal
365,60.0,0.52,nominal
366,60.0,0.47,nominal
367,60.0,0.55,nominal
368,60.0,0.41,nominal
369,60.0,0.38,nominal
370,60.0,0.38,nominal
371,60.0,0.61,nominal
372,60.0,0.27,nominal
373,60.0,0.49,nominal
374,60.0,0.48,nominal
375,60.0,0.53,nominal
376,60.0,0.43,nominal
377,60.0,0.32,nominal
378,60.0,0.71,nominal
379,60.0,0.66,nominal
380,60.0,0.31,nominal
381,60.0,0.45,nominal
382,60.0,0.37,nominal
383,60.0,0.42,nominal
384,60.0,0.45,nominal
385,60.0,0.44,nominal
386,60.0,0.40,nominal
387,60.0,0.34,nominal
388,60.0,0.38,nominal
389,60.0,0.63,nominal
390,60.0,0.54,nominal
391,60.0,0.45,nominal
392,60.0,0.41,nominal
393,60.0,0.53,nominal
394,60.0,0.44,nominal
395,60.0,0.44,nominal
396,60.0,0.45,nominal
397,60.0,0.41,nominal
399,60.0,0.50,nominal
400,60.0,0.72,nominal
401,60.0,0.42,nominal
402,60.0,0.43,nominal
403,60.0,0.38,nominal
404,60.0,0.73,nominal
405,60.0,0.83,nominal
406,60.0,0.62,nominal
407,60.0,0.62,nominal
408,60.0,0.68,nominal
409,60.0,0.39,nominal
410,60.0,0.55,nominal
411,60.0,0.44,nominal
412,60.0,0.47,nominal
413,60.0,0.55,nominal
414,60.0,0.40,nominal
415,60.0,0.62,nominal
416,60.0,0.57,nominal
417,60.0,0.37,nominal
418,60.0,0.48,nominal
419,60.0,0.73,nominal
420,60.0,0.46,nominal
421,60.0,0.50,nominal
422,60.0,0.40,nominal
423,60.0,0.29,nominal
424,60.0,0.75,nominal
425,60.0,0.48,nominal
426,60.0,0.58,nominal
427,60.0,0.65,nominal
428,60.0,0.39,nominal
429,60.0,0.68,nominal
430,60.0,0.65,nominal
431,60.0,0.28,nominal
432,60.0,0.61,nominal
433,60.0,0.39,nominal
434,60.0,0.67,nominal
435,60.0,0.42,nominal
436,60.0,0.40,nominal
437,60.0,0.44,nominal
438,60.0,0.73,nominal
439,60.0,0.63,nominal
440,60.0,0.48,nominal
441,60.0,0.49,nominal
442,60.0,0.47,nominal
443,60.0,0.50,nominal
444,60.0,0.45,nominal
445,60.0,0.39,nominal
446,60.0,0.53,nominal
447,60.0,0.53,nominal
448,60.0,0.46,nominal
449,60.0,0.75,nominal
450,60.0,0.42,nominal
451,60.0,0.43,nominal
452,60.0,0.52,nominal
453,60.0,0.44,nominal
454,60.0,0.44,nominal
455,60.0,0.42,nominal
456,60.0,0.42,nominal
457,60.0,0.48,nominal
458,60.0,0.73,nominal
460,60.0,0.69,nominal
461,60.0,0.44,nominal
462,60.0,0.39,nominal
463,60.0,0.42,nominal
464,60.0,0.53,nominal
465,60.0,0.52,nominal
466,60.0,0.42,nominal
467,60.0,0.40,nominal
468,60.0,0.35,nominal
469,60.0,0.57,nominal
470,60.0,0.68,nominal
471,60.0,0.48,nominal
472,60.0,0.39,nominal
473,60.0,0.53,nominal
474,60.0,0.48,nominal
475,60.0,0.56,nominal
476,60.0,0.42,nominal
477,60.0,0.57,nominal
478,60.0,0.39,nominal
479,60.0,0.57,nominal
480,60.0,0.41,nominal
481,60.0,0.48,nominal
482,60.0,0.36,nominal
483,60.0,0.59,nominal
484,60.0,0.49,nominal
485,60.0,0.55,nominal
486,60.0,0.42,nominal
487,60.0,0.56,nominal
488,60.0,0.40,nominal
489,60.0,0.47,nominal
490,60.0,0.67,nominal
491,60.0,0.44,nominal
492,60.0,0.34,nominal
493,60.0,0.54,nominal
494,60.0,0.45,nominal
495,60.0,0.44,nominal
496,60.0,0.49,nominal
497,60.0,0.54,nominal
498,60.0,0.61,nominal
499,60.0,0.56,nominal
500,60.0,0.58,nominal
501,60.0,0.51,nominal
502,60.0,0.50,nominal
503,60.0,0.48,nominal
504,60.0,0.45,nominal
505,60.0,0.60,nominal
506,60.0,0.44,nominal
507,60.0,0.44,nominal
508,60.0,0.42,nominal
509,60.0,0.50,nominal
510,60.0,0.43,nominal
511,60.0,0.40,nominal
512,60.0,0.33,nominal
513,60.0,0.46,nominal
514,60.0,0.72,nominal
515,60.0,0.30,nominal
516,60.0,0.43,nominal
517,60.0,0.51,nominal
518,60.0,0.51,nominal
519,60.0,0.63,nominal
521,60.0,0.41,nominal
522,60.0,0.40,nominal
523,60.0,0.42,nominal
524,60.0,0.45,nominal
525,60.0,0.68,nominal
526,60.0,0.44,nominal
527,60.0,0.43,nominal
528,60.0,0.40,nominal
529,60.0,0.41,nominal
530,60.0,0.48,nominal
531,60.0,0.43,nominal
532,60.0,0.51,nominal
533,60.0,0.43,nominal
534,60.0,0.47,nominal
535,60.0,0.62,nominal
536,60.0,0.29,nominal
537,60.0,0.47,nominal
