t_s,fps,worst_frame_ms,thermal
# t=0.0 surface attached 924x1480
1,122.7,10.55,none
2,120.7,10.69,none
3,120.1,13.37,none
4,120.9,14.30,none
5,120.6,12.49,none
6,120.8,12.45,none
7,121.0,14.79,none
8,120.9,12.51,none
9,120.9,12.77,none
10,120.8,12.52,none
11,120.9,12.58,none
12,121.0,12.54,none
13,121.0,11.65,none
14,120.8,12.25,none
15,120.9,12.59,none
16,120.7,12.28,none
17,121.0,12.61,none
18,120.9,11.62,none
19,120.8,12.35,none
20,121.0,12.46,none
21,120.9,11.63,none
22,120.6,12.52,none
23,120.9,12.18,none
24,120.8,12.19,none
25,120.9,11.78,none
26,120.9,11.96,none
27,120.9,12.72,none
28,121.0,12.85,none
29,120.9,12.09,none
30,120.8,13.38,none
31,120.8,11.83,none
32,120.7,11.85,none
33,120.4,16.13,none
34,121.8,11.20,none
35,120.8,11.58,none
36,120.9,11.36,none
37,120.8,11.30,none
38,121.0,11.21,none
39,120.6,11.35,none
40,120.9,11.57,none
41,121.0,11.29,none
42,120.9,11.71,none
43,120.8,10.92,none
44,120.9,11.45,none
45,120.9,11.50,none
46,120.9,11.22,none
47,120.8,11.63,none
48,121.0,11.09,none
49,120.9,11.43,none
50,120.9,11.26,none
51,121.0,12.12,none
52,120.6,11.14,none
53,121.0,10.98,none
54,120.9,11.15,none
55,120.9,11.31,none
56,121.1,10.85,none
57,120.7,11.63,none
58,120.9,12.20,none
59,120.8,10.95,none
60,120.8,11.30,none
61,121.0,11.51,none
62,120.8,11.27,none
63,120.2,16.77,none
64,121.8,12.31,none
65,120.7,11.52,none
66,120.8,11.35,none
67,120.7,11.96,none
68,121.4,11.48,none
69,120.7,11.21,none
70,120.9,11.82,none
71,120.8,11.00,none
72,120.9,11.58,none
73,120.7,11.11,none
74,120.9,11.34,none
75,120.9,11.10,none
76,120.8,11.00,none
77,120.9,11.39,none
78,121.0,11.17,none
79,120.8,10.96,none
80,120.8,11.22,none
82,120.9,11.35,none
83,120.9,10.88,none
84,120.8,11.61,none
85,120.9,11.26,none
86,120.8,11.41,none
87,120.9,10.87,none
88,120.9,11.54,none
89,120.8,11.16,none
90,120.9,11.25,none
91,120.9,11.11,none
92,120.8,10.97,none
93,120.9,11.77,none
94,121.1,11.42,none
95,120.6,15.75,none
96,120.8,11.28,none
97,120.9,11.55,none
98,120.9,11.36,none
99,120.9,11.37,none
100,120.8,11.29,none
101,121.0,11.42,none
102,120.9,11.33,none
103,120.8,12.06,none
104,120.8,11.14,none
105,121.1,11.05,none
106,120.8,10.84,none
107,120.9,11.39,none
108,121.0,11.10,none
109,120.7,11.64,none
110,120.9,11.13,none
111,120.9,11.07,none
112,120.9,11.04,none
113,120.9,11.62,none
114,120.9,11.10,none
115,120.8,11.75,none
116,120.9,11.44,none
117,120.9,11.51,none
118,120.9,11.27,none
119,120.8,11.16,none
120,121.0,11.19,none
121,120.8,11.47,none
122,120.9,11.60,none
123,120.9,11.36,none
124,121.1,11.09,none
125,120.8,14.44,none
126,120.6,10.82,none
127,120.9,11.53,none
128,121.0,11.20,none
129,120.8,11.43,none
130,120.9,11.91,none
131,120.9,11.25,none
132,120.8,12.15,none
133,120.6,12.22,none
134,121.2,11.14,none
135,120.8,11.43,none
136,120.9,10.97,none
137,120.9,11.64,none
138,120.9,10.92,none
139,120.9,11.32,none
140,120.9,11.21,none
141,120.8,11.74,none
142,120.9,10.91,none
143,120.9,11.28,none
144,121.0,10.91,none
145,120.8,11.17,none
146,120.9,11.19,none
147,120.9,11.73,none
148,120.8,11.33,none
149,121.0,11.16,none
150,120.8,10.93,none
151,120.9,11.36,none
152,120.8,11.12,none
153,120.9,11.25,none
154,121.2,11.35,none
155,120.6,12.77,none
156,120.9,11.11,none
157,120.8,11.17,none
158,121.0,11.35,none
159,120.8,11.05,none
160,120.9,11.09,none
161,120.8,11.03,none
162,120.9,10.90,none
163,120.9,11.23,none
164,120.9,11.15,none
165,120.9,10.97,none
166,120.8,11.75,none
167,120.9,11.33,none
168,120.8,11.52,none
169,120.9,11.69,none
170,120.9,10.87,none
171,120.9,11.92,none
172,120.9,10.98,none
173,120.9,11.54,none
174,120.8,11.34,none
175,120.9,11.17,none
176,121.0,11.36,none
177,120.7,11.30,none
178,121.0,11.19,none
179,120.8,11.42,none
180,120.9,10.99,none
181,120.9,11.16,none
182,120.8,11.13,none
183,120.8,11.19,none
184,120.8,11.34,none
185,120.9,14.11,none
186,120.8,11.17,none
187,120.9,11.52,none
188,120.9,11.16,none
189,120.9,10.96,none
190,120.7,12.00,none
191,121.1,10.95,none
192,120.8,11.41,none
193,120.9,11.43,none
194,120.9,11.02,none
195,120.8,11.83,none
196,120.9,11.19,none
197,121.0,11.37,none
198,120.8,11.44,none
199,120.8,11.27,none
200,121.1,11.00,none
201,120.9,11.39,none
202,120.8,11.12,none
203,120.8,11.23,none
204,120.9,12.90,none
205,121.0,10.99,none
206,120.8,11.72,none
207,120.8,11.13,none
208,120.9,11.46,none
209,120.8,12.08,none
210,121.0,10.68,none
211,120.8,11.01,none
212,120.9,11.59,none
213,120.9,11.65,none
214,120.9,11.33,none
215,120.8,12.67,none
216,120.8,11.63,none
217,120.9,11.61,none
218,121.0,11.58,none
219,120.9,11.21,none
220,120.9,11.08,none
222,120.9,11.52,none
223,120.8,11.57,none
224,121.0,11.55,none
225,120.8,11.16,none
226,120.9,11.18,none
227,120.9,11.35,none
228,120.9,11.24,none
229,120.9,11.03,none
230,121.0,11.47,none
231,120.8,11.12,none
232,120.8,11.59,none
233,120.9,11.05,none
234,120.8,11.37,none
235,120.9,11.50,none
236,120.8,11.48,none
237,120.9,11.68,none
238,120.9,11.00,none
239,120.9,10.90,none
240,120.9,11.57,none
241,121.0,11.20,none
242,120.8,11.91,none
243,120.8,10.97,none
244,120.9,11.16,none
245,120.8,12.81,none
246,120.9,14.60,none
247,120.8,11.11,none
248,120.8,10.95,none
249,120.9,11.22,none
250,120.9,11.19,none
251,120.9,11.69,none
252,120.8,11.43,none
253,121.0,11.60,none
254,120.8,11.23,none
255,121.0,11.09,none
256,120.7,11.25,none
257,120.8,11.49,none
258,121.0,11.51,none
259,120.9,11.65,none
260,120.8,11.52,none
261,121.0,10.96,none
262,120.8,11.80,none
263,121.0,10.89,none
264,120.9,10.78,none
265,120.8,11.61,none
266,120.9,11.57,none
267,120.9,11.25,none
268,120.8,11.07,none
269,120.8,11.13,none
270,120.9,11.75,none
271,121.0,11.00,none
272,120.8,11.27,none
273,121.0,12.03,none
274,120.7,11.24,none
275,120.9,11.26,none
276,120.9,15.50,none
277,121.0,11.39,none
278,120.5,12.02,none
279,121.0,11.42,none
280,120.9,11.25,none
281,120.9,11.68,none
282,120.8,10.98,none
283,120.9,11.17,none
284,120.8,11.47,none
285,121.0,11.67,none
286,121.0,12.20,none
287,120.7,11.02,none
288,120.8,11.40,none
289,120.9,11.44,none
290,121.0,11.19,none
291,120.9,11.00,none
292,120.8,11.21,none
293,121.0,11.17,none
294,120.8,12.61,none
295,120.9,11.52,none
296,120.9,11.02,none
297,120.9,10.89,none
298,120.8,11.61,none
299,120.9,11.20,none
300,120.9,11.53,none
301,121.0,11.30,none
302,121.0,11.11,none
303,120.7,11.41,none
304,120.8,11.01,none
305,120.7,12.32,none
306,121.2,14.36,none
307,120.9,11.58,none
308,120.8,10.95,none
309,121.0,11.62,none
310,120.7,10.99,none
311,121.0,11.06,none
312,120.8,11.19,none
313,120.9,11.24,none
314,120.7,11.21,none
315,121.2,11.15,none
316,120.7,11.28,none
317,120.8,11.34,none
318,120.8,11.44,none
319,121.0,11.26,none
320,120.8,11.92,none
321,120.9,11.57,none
322,121.0,11.57,none
323,120.8,11.58,none
324,120.8,11.31,none
325,120.9,11.16,none
326,120.8,11.26,none
327,121.0,11.32,none
328,120.9,11.07,none
329,120.9,11.37,none
330,120.8,11.31,none
331,120.8,11.93,none
332,120.8,11.51,none
333,120.8,11.44,none
334,121.0,11.60,none
335,120.9,11.14,none
336,121.2,17.58,none
337,120.7,11.55,none
338,120.8,11.37,none
339,120.8,11.48,none
340,121.0,11.69,none
341,120.8,11.10,none
342,121.0,11.29,none
343,120.8,11.35,none
344,120.9,11.28,none
345,120.9,11.39,none
346,120.8,11.21,none
347,120.9,11.19,none
348,120.9,11.20,none
349,120.8,11.04,none
350,121.0,11.39,none
351,121.0,12.82,none
352,120.8,11.40,none
353,121.0,11.29,none
354,120.7,11.14,none
355,120.8,11.09,none
356,120.8,11.18,none
357,121.0,11.80,none
358,120.9,11.60,none
359,120.8,10.86,none
361,120.8,11.43,none
362,120.9,11.44,none
363,121.0,11.26,none
364,120.6,11.16,none
365,120.9,10.48,none
366,120.8,11.87,none
367,120.9,13.35,none
368,120.9,11.11,none
369,120.9,11.14,none
370,120.9,11.53,none
371,120.9,11.51,none
372,120.8,11.06,none
373,120.8,11.68,none
374,120.9,10.90,none
375,120.9,11.20,none
376,120.9,11.28,none
377,120.9,10.86,none
378,121.0,11.18,none
379,120.9,11.30,none
380,120.8,10.93,none
381,121.0,11.45,none
382,121.0,11.32,none
383,120.7,10.73,none
384,120.8,11.62,none
385,120.9,10.92,none
386,120.8,11.11,none
387,121.0,11.08,none
388,120.9,11.63,none
389,120.8,10.91,none
390,120.9,11.53,none
391,120.9,11.56,none
392,120.8,11.20,none
393,121.0,10.73,none
394,120.9,11.18,none
395,120.8,11.52,none
396,120.9,11.49,none
397,119.6,15.34,none
398,122.5,11.19,none
399,120.6,11.50,none
400,120.9,12.05,none
401,121.0,11.68,none
402,120.9,11.08,none
403,120.7,11.62,none
404,120.8,11.32,none
405,120.9,11.75,none
406,121.0,11.27,none
407,120.8,11.28,none
408,120.9,11.27,none
409,120.9,11.02,none
410,120.8,11.12,none
411,120.9,11.28,none
412,121.0,11.27,none
413,120.8,11.26,none
414,120.8,11.36,none
415,120.9,11.52,none
416,120.8,11.53,none
417,121.0,14.92,none
418,120.7,11.63,none
419,120.9,11.37,none
420,120.8,11.43,none
421,120.9,11.26,none
# t=421.5 sim_scale -> 0.60 (thermal severe)
422,121.0,11.52,severe
423,120.9,10.27,severe
424,121.0,10.55,severe
425,120.9,10.08,severe
426,120.8,9.90,severe
427,121.0,11.16,severe
428,120.6,12.16,severe
429,121.0,10.69,severe
430,120.9,10.70,severe
431,120.9,10.92,severe
432,120.8,10.19,severe
433,121.0,10.05,severe
434,120.8,10.74,severe
435,120.8,10.01,severe
436,120.8,10.33,severe
437,121.0,9.78,severe
438,120.9,10.68,severe
439,120.9,10.78,severe
440,120.8,10.55,severe
441,121.0,9.81,severe
442,120.7,10.75,severe
443,120.9,10.11,severe
444,120.9,10.42,severe
445,121.0,10.05,severe
446,120.6,10.57,severe
447,121.0,10.33,severe
448,120.8,10.77,severe
449,120.8,10.64,severe
450,120.9,10.31,severe
451,120.9,11.04,severe
452,120.8,11.13,severe
453,120.9,10.25,severe
454,121.0,10.79,severe
455,120.7,9.84,severe
456,120.9,9.89,severe
457,120.9,10.52,severe
458,120.7,11.81,severe
459,120.9,10.60,severe
460,120.9,9.69,severe
461,120.9,10.91,severe
462,120.7,10.18,severe
463,121.0,10.05,severe
464,120.9,10.31,severe
465,120.8,10.39,severe
466,120.8,10.65,severe
467,120.9,10.62,severe
468,120.9,12.74,severe
469,120.9,11.04,severe
