t_s,fps,worst_frame_ms,thermal
# t=0.0 surface attached 924x1480
1,123.9,10.61,none
2,120.6,10.24,none
3,119.0,15.46,none
4,121.0,12.91,none
5,120.5,13.11,none
6,120.9,12.83,none
7,120.9,13.04,none
8,120.9,11.98,none
9,120.8,12.52,none
10,120.9,12.38,none
11,120.9,12.96,none
12,121.0,12.71,none
13,120.9,12.87,none
14,120.7,12.52,none
15,121.9,13.73,none
# t=15.6 surface released
# t=17.3 surface attached 924x1480
17,25.9,14.91,none
18,120.6,15.19,none
19,120.8,12.37,none
20,120.9,12.04,none
21,120.9,12.43,none
22,120.8,12.59,none
23,121.6,17.24,none
# t=23.3 surface released
# t=25.0 surface attached 924x1480
25,0.6,6.02,none
26,120.0,18.19,none
27,121.0,12.28,none
28,120.8,12.16,none
29,120.9,12.63,none
30,120.9,12.51,none
# t=31.1 surface released
# t=32.8 surface attached 924x1480
33,44.1,17.34,none
34,120.1,18.56,none
35,120.9,12.23,none
36,120.9,12.28,none
37,120.9,12.13,none
38,120.8,14.59,none
# t=38.8 surface released
# t=40.5 surface attached 924x1480
41,44.7,17.30,none
42,121.5,16.94,none
43,120.6,12.89,none
44,120.8,11.89,none
45,120.7,12.46,none
46,121.2,12.14,none
47,121.6,19.33,none
# t=46.6 surface released
# t=48.3 surface attached 924x1480
48,0.6,2.02,none
49,121.6,14.89,none
50,120.8,12.47,none
51,120.6,11.80,none
52,120.9,12.27,none
53,120.8,12.57,none
54,121.2,17.75,none
# t=54.3 surface released
# t=56.0 surface attached 924x1480
56,0.6,5.72,none
57,120.3,16.34,none
58,120.6,12.03,none
59,120.9,12.74,none
60,120.7,12.89,none
61,121.2,12.02,none
# t=62.1 surface released
# t=63.8 surface attached 924x1480
64,43.7,15.88,none
65,120.9,18.04,none
66,120.6,11.86,none
67,120.9,13.33,none
68,120.9,11.95,none
69,120.8,12.39,none
# t=69.8 surface released
# t=71.5 surface attached 924x1480
72,44.5,17.91,none
73,120.8,17.55,none
74,120.6,11.42,none
75,121.0,11.81,none
76,120.9,11.89,none
77,121.0,11.62,none
# t=77.6 surface released
# t=79.3 surface attached 924x1480
79,44.4,16.01,none
80,121.0,18.09,none
81,120.9,11.93,none
82,120.6,12.66,none
83,120.9,11.96,none
84,120.8,12.43,none
85,121.6,18.92,none
# t=85.3 surface released
# t=87.1 surface attached 924x1480
87,0.6,4.17,none
88,122.1,14.08,none
89,121.0,12.40,none
90,120.8,12.32,none
91,120.9,13.59,none
92,121.0,11.94,none
93,121.0,11.89,none
94,120.0,17.04,none
95,120.7,12.55,none
96,120.9,12.00,none
97,120.9,12.42,none
98,120.8,11.91,none
99,120.8,12.30,none
100,121.0,12.62,none
101,120.7,12.61,none
102,121.0,12.27,none
103,120.9,12.58,none
104,120.9,12.70,none
105,120.8,12.24,none
106,121.0,12.42,none
107,120.8,13.17,none
108,120.8,12.39,none
109,121.0,12.30,none
110,120.7,12.54,none
111,120.9,12.17,none
112,121.0,12.14,none
113,121.0,12.37,none
114,120.9,12.38,none
115,120.8,12.53,none
116,121.0,11.60,none
117,120.7,12.66,none
118,121.0,12.24,none
119,121.0,12.10,none
120,120.9,11.88,none
121,120.8,12.24,none
122,120.7,12.23,none
123,121.1,12.53,none
124,120.9,13.13,none
125,120.6,12.03,none
126,121.1,12.38,none
127,120.7,12.56,none
128,121.2,12.37,none
129,120.9,12.28,none
130,120.7,12.06,none
131,121.0,12.18,none
132,120.6,12.34,none
133,121.0,12.28,none
134,120.9,11.34,none
135,120.8,12.32,none
136,120.9,11.94,none
137,120.7,12.45,none
138,121.0,12.37,none
139,120.9,12.36,none
140,120.9,12.37,none
141,120.8,12.53,none
142,120.9,12.49,none
143,120.9,12.10,none
144,120.9,12.08,none
145,120.9,12.74,none
146,121.0,11.81,none
147,121.0,11.95,none
148,120.5,12.47,none
149,121.1,12.71,none
150,120.9,11.94,none
151,120.8,13.50,none
152,120.9,11.88,none
153,120.9,11.85,none
154,120.7,14.78,none
155,121.0,14.21,none
156,120.8,12.45,none
157,121.0,12.14,none
158,120.9,12.26,none
159,120.9,12.19,none
161,120.8,12.01,none
162,120.8,12.34,none
163,121.0,12.25,none
164,120.9,12.78,none
165,120.9,12.63,none
166,120.8,12.20,none
167,121.0,12.37,none
168,121.0,12.29,none
169,120.8,12.20,none
170,120.8,12.17,none
171,121.0,12.60,none
172,121.0,12.64,none
173,120.6,12.14,none
174,120.8,12.58,none
175,120.9,12.02,none
176,121.0,12.69,none
177,120.9,12.33,none
178,120.9,12.23,none
179,120.8,12.36,none
180,120.8,12.42,none
181,120.8,12.31,none
182,121.0,12.29,none
183,120.8,12.47,none
# stress feeder done, 410688 messages, dropped=0
184,120.8,11.12,none
185,121.1,9.94,none
186,120.9,9.44,none
187,120.9,10.05,none
188,120.9,10.23,none
189,120.9,9.60,none
190,120.8,9.81,none
191,120.9,10.00,none
192,120.8,9.76,none
