t_s,fps,worst_frame_ms,thermal
# t=0.0 surface attached 924x1480
1,123.2,14.74,none
2,120.6,10.83,none
3,119.3,16.75,none
4,120.4,11.78,none
5,120.8,12.46,none
6,121.0,11.61,none
7,121.0,11.93,none
8,120.8,11.34,none
9,120.9,11.45,none
10,120.9,11.85,none
11,120.9,11.52,none
12,120.9,11.80,none
13,120.9,11.17,none
14,120.8,11.32,none
15,121.0,11.52,none
16,120.9,11.31,none
17,121.0,11.14,none
18,120.7,11.01,none
19,120.8,11.63,none
20,120.5,20.42,none
21,120.6,16.96,none
22,120.4,12.53,none
23,121.0,11.82,none
24,120.9,12.92,none
25,120.7,11.74,none
26,120.9,11.61,none
27,121.0,12.06,none
28,121.9,16.06,none
29,120.0,19.55,none
30,120.6,12.54,none
31,120.9,13.00,none
32,120.9,12.23,none
33,119.5,16.24,none
34,122.3,11.61,none
35,121.0,10.92,none
36,119.8,12.73,none
37,120.9,15.34,none
38,120.9,12.07,none
39,120.8,12.04,none
40,120.9,12.31,none
41,121.0,12.20,none
42,120.8,12.54,none
43,120.7,14.26,none
44,121.8,14.31,none
45,119.5,19.10,none
46,120.5,11.17,none
47,120.9,13.42,none
48,121.0,12.26,none
49,120.7,12.15,none
50,121.0,12.15,none
51,120.8,12.31,none
52,120.8,12.13,none
53,121.0,17.75,none
54,120.7,11.19,none
55,120.9,13.08,none
56,120.9,11.60,none
57,120.9,12.06,none
58,120.9,12.19,none
59,120.9,14.58,none
60,120.9,11.95,none
61,122.0,18.70,none
# t=61.4 surface released
# t=63.6 surface attached 1480x924
64,4.0,10.14,none
65,120.5,18.07,none
66,120.6,12.44,none
67,120.8,12.81,none
68,120.8,12.13,none
69,121.3,12.38,none
# t=69.6 surface released
# t=71.8 surface attached 1480x924
72,36.3,19.51,none
73,121.4,16.65,none
74,120.5,12.49,none
75,120.8,12.19,none
76,121.0,12.45,none
77,120.8,12.00,none
# t=77.8 surface released
# t=80.1 surface attached 1480x924
80,36.3,15.76,none
81,120.7,17.53,none
82,120.8,13.07,none
83,120.9,12.33,none
84,121.0,14.63,none
85,120.8,12.30,none
# t=86.1 surface released
# t=88.3 surface attached 1480x924
88,36.3,17.74,none
89,121.0,17.82,none
90,120.8,12.88,none
91,120.8,12.18,none
92,120.8,12.05,none
93,121.0,11.98,none
# t=94.3 surface released
# t=96.6 surface attached 1480x924
97,36.5,18.05,none
98,121.3,16.94,none
99,120.9,12.13,none
100,120.8,12.04,none
101,120.9,12.81,none
102,120.8,12.71,none
103,119.9,20.19,none
104,120.9,11.55,none
105,121.0,12.48,none
106,120.6,11.59,none
107,120.9,12.14,none
108,121.0,12.23,none
109,120.9,11.74,none
110,120.9,11.53,none
111,120.7,12.66,none
112,121.0,12.29,none
113,121.0,12.39,none
114,120.8,11.99,none
115,120.8,11.49,none
116,121.1,12.29,none
117,120.9,12.20,none
118,120.7,13.64,none
119,120.9,12.22,none
120,120.9,12.10,none
121,120.9,12.25,none
122,120.9,11.79,none
123,120.8,12.12,none
124,121.3,12.48,none
125,120.8,16.63,none
126,120.7,11.96,none
127,120.8,11.87,none
128,120.8,11.73,none
129,120.6,11.92,none
130,121.0,13.21,none
131,120.8,12.29,none
132,120.9,12.20,none
133,120.8,12.46,none
134,121.1,12.16,none
135,120.8,12.67,none
136,120.7,12.40,none
137,121.0,12.96,none
138,120.9,11.88,none
139,120.8,12.04,none
140,120.8,11.65,none
141,120.8,11.89,none
142,121.4,11.83,none
143,120.6,11.90,none
144,121.0,12.16,none
145,120.7,12.06,none
146,120.8,14.44,none
147,121.2,12.50,none
148,120.9,11.58,none
149,120.4,12.78,none
150,121.1,12.24,none
151,120.8,11.92,none
152,120.9,13.76,none
153,120.8,11.74,none
154,120.9,12.38,none
155,120.8,14.04,none
156,121.1,11.95,none
157,120.8,12.31,none
158,120.9,12.88,none
159,120.8,12.01,none
160,121.0,12.52,none
161,120.9,12.39,none
