t,status,d1,d2,src
30029.7217,176,101,0,2
30029.7217,176,100,6,2
30029.7217,176,6,15,2
30029.7217,176,101,127,2
30029.7217,176,100,127,2
30029.7217,177,101,0,2
30029.7217,177,100,0,2
30029.7217,177,6,48,2
30029.7217,177,101,127,2
30029.7217,177,100,127,2
30029.7217,178,101,0,2
30029.7217,178,100,0,2
30029.7217,178,6,48,2
30029.7217,178,101,127,2
30029.7217,178,100,127,2
30029.7217,179,101,0,2
30029.7217,179,100,0,2
30029.7217,179,6,48,2
30029.7217,179,101,127,2
30029.7217,179,100,127,2
30029.7217,180,101,0,2
30029.7217,180,100,0,2
30029.7217,180,6,48,2
30029.7217,180,101,127,2
30029.7217,180,100,127,2
30029.7217,181,101,0,2
30029.7217,181,100,0,2
30029.7217,181,6,48,2
30029.7217,181,101,127,2
30029.7217,181,100,127,2
30029.7217,182,101,0,2
30029.7217,182,100,0,2
30029.7217,182,6,48,2
30029.7217,182,101,127,2
30029.7217,182,100,127,2
30029.7217,183,101,0,2
30029.7217,183,100,0,2
30029.7217,183,6,48,2
30029.7217,183,101,127,2
30029.7217,183,100,127,2
30029.7217,184,101,0,2
30029.7217,184,100,0,2
30029.7217,184,6,48,2
30029.7217,184,101,127,2
30029.7217,184,100,127,2
30029.7217,185,101,0,2
30029.7217,185,100,0,2
30029.7217,185,6,48,2
30029.7217,185,101,127,2
30029.7217,185,100,127,2
30029.7217,186,101,0,2
30029.7217,186,100,0,2
30029.7217,186,6,48,2
30029.7217,186,101,127,2
30029.7217,186,100,127,2
30029.7217,187,101,0,2
30029.7217,187,100,0,2
30029.7217,187,6,48,2
30029.7217,187,101,127,2
30029.7217,187,100,127,2
30029.7217,188,101,0,2
30029.7217,188,100,0,2
30029.7217,188,6,48,2
30029.7217,188,101,127,2
30029.7217,188,100,127,2
30029.7217,189,101,0,2
30029.7217,189,100,0,2
30029.7217,189,6,48,2
30029.7217,189,101,127,2
30029.7217,189,100,127,2
30029.7217,190,101,0,2
30029.7217,190,100,0,2
30029.7217,190,6,48,2
30029.7217,190,101,127,2
30029.7217,190,100,127,2
30029.7217,191,101,0,2
30029.7217,191,100,0,2
30029.7217,191,6,48,2
30029.7217,191,101,127,2
30029.7217,191,100,127,2
30034.9010,225,0,64,1
30034.9010,145,67,120,1
30035.0159,225,1,64,1
30035.0326,225,9,64,1
30035.0492,225,22,64,1
30035.0662,225,46,64,1
30035.0826,225,79,64,1
30035.0993,225,113,64,1
30035.1160,225,16,65,1
30035.1327,225,47,65,1
30035.1493,225,80,65,1
30035.1660,225,111,65,1
30035.1826,225,15,66,1
30035.1993,225,43,66,1
30035.1993,209,2,0,1
30035.2160,225,66,66,1
30035.2326,225,88,66,1
30035.2493,225,109,66,1
30035.2660,225,127,66,1
30035.2826,225,16,67,1
30035.2993,225,29,67,1
30035.3160,225,39,67,1
30035.3326,225,45,67,1
30035.3493,225,50,67,1
30035.3660,225,53,67,1
30035.3826,225,56,67,1
30035.3993,225,59,67,1
30035.4159,225,60,67,1
30035.4326,225,62,67,1
30035.4493,225,64,67,1
30035.4659,225,65,67,1
30035.4827,225,67,67,1
30035.4993,225,70,67,1
30035.5160,225,73,67,1
30035.5326,225,76,67,1
30035.5493,225,79,67,1
30035.5660,225,81,67,1
30035.5826,225,84,67,1
30035.5826,209,3,0,1
30035.5993,225,85,67,1
30035.6160,225,87,67,1
30035.6326,225,89,67,1
30035.6326,209,2,0,1
30035.6493,225,90,67,1
30035.6993,209,0,0,1
30035.6993,129,67,64,1
30037.1172,226,0,64,1
30037.1172,146,66,120,1
30037.2160,226,114,63,1
30037.2160,210,2,0,1
30037.2327,226,102,63,1
30037.2492,226,86,63,1
30037.2492,210,3,0,1
30037.2659,226,66,63,1
30037.2659,210,1,0,1
30037.2826,226,45,63,1
30037.2826,210,0,0,1
30037.2993,226,26,63,1
30037.3159,226,8,63,1
30037.3326,226,122,62,1
30037.3492,226,108,62,1
30037.3659,226,97,62,1
30037.3825,226,87,62,1
30037.3992,226,76,62,1
30037.4159,226,68,62,1
30037.4325,226,59,62,1
30037.4492,226,49,62,1
30037.4659,226,41,62,1
30037.4825,226,32,62,1
30037.4992,226,24,62,1
30037.5159,226,16,62,1
30037.5325,226,8,62,1
30037.5492,226,0,62,1
30037.5659,226,120,61,1
30037.5825,226,111,61,1
30037.5992,226,104,61,1
30037.6158,226,99,61,1
30037.6325,226,94,61,1
30037.6492,226,90,61,1
30037.6658,226,89,61,1
30037.6825,226,85,61,1
30037.6992,226,83,61,1
30037.7158,226,80,61,1
30037.7325,226,78,61,1
30037.7492,226,75,61,1
30037.7659,226,72,61,1
30037.7825,226,69,61,1
30037.7992,226,64,61,1
30037.8159,226,59,61,1
30037.8325,226,51,61,1
30037.8492,226,44,61,1
30037.8659,226,35,61,1
30037.8825,226,27,61,1
30037.8992,226,19,61,1
30037.9159,226,11,61,1
30037.9325,226,3,61,1
30037.9492,226,124,60,1
30037.9658,226,117,60,1
30037.9825,226,112,60,1
30037.9992,226,107,60,1
30038.0159,226,102,60,1
30038.0325,226,98,60,1
30038.0492,226,94,60,1
30038.0659,226,89,60,1
30038.0825,226,85,60,1
30038.0992,226,80,60,1
30038.1158,226,72,60,1
30038.1325,226,65,60,1
30038.1492,226,55,60,1
30038.1658,226,43,60,1
30038.1825,226,30,60,1
30038.1992,226,15,60,1
30038.2158,226,126,59,1
30038.2325,226,107,59,1
30038.2492,226,88,59,1
30038.2658,226,67,59,1
30038.2825,226,43,59,1
30038.2992,226,20,59,1
30038.3158,226,123,58,1
30038.3325,226,99,58,1
30038.3492,226,74,58,1
30038.3658,226,48,58,1
30038.3825,226,24,58,1
30038.3992,226,2,58,1
30038.4158,226,108,57,1
30038.4325,226,86,57,1
30038.4491,226,65,57,1
30038.4658,226,47,57,1
30038.4825,226,30,57,1
30038.4992,226,15,57,1
30038.5158,226,124,56,1
30038.5325,226,109,56,1
30038.5492,226,93,56,1
30038.5658,226,79,56,1
30038.5825,226,65,56,1
30038.5992,226,54,56,1
30038.6158,226,42,56,1
30038.6325,226,30,56,1
30038.6491,226,19,56,1
30038.6658,226,7,56,1
30038.6825,226,123,55,1
30038.6992,226,114,55,1
30038.7158,226,105,55,1
30038.7325,226,98,55,1
30038.7491,226,92,55,1
30038.7658,226,84,55,1
