t_s,fps,worst_frame_ms,thermal
1,55.3,33.78,nominal
2,52.1,33.36,nominal
3,53.1,16.82,nominal
4,54.1,33.21,nominal
5,40.0,33.05,nominal
6,47.4,33.33,nominal
7,40.4,33.04,nominal
8,44.2,33.36,nominal
9,43.3,33.09,nominal
10,60.0,0.67,nominal
11,60.0,0.64,nominal
12,60.0,0.55,nominal
13,60.0,0.63,nominal
14,60.0,0.32,nominal
15,60.0,0.52,nominal
16,60.0,0.43,nominal
17,60.0,0.65,nominal
18,60.0,0.62,nominal
19,60.0,0.52,nominal
20,60.0,0.57,nominal
21,60.0,0.61,nominal
22,60.0,0.50,nominal
23,60.0,0.50,nominal
24,60.0,0.45,nominal
25,60.0,0.53,nominal
26,60.0,0.55,nominal
27,60.0,0.52,nominal
28,60.0,0.65,nominal
29,60.0,0.49,nominal
30,60.0,0.63,nominal
32,60.0,0.40,nominal
33,60.0,0.29,nominal
34,60.0,0.48,nominal
35,60.0,0.41,nominal
36,60.0,0.60,nominal
37,60.0,0.55,nominal
38,60.0,0.48,nominal
39,60.0,0.59,nominal
40,60.0,0.70,nominal
41,60.0,0.63,nominal
42,60.0,0.62,nominal
43,60.0,0.57,nominal
44,60.0,0.58,nominal
45,60.0,0.60,nominal
46,60.0,0.44,nominal
47,60.0,0.55,nominal
48,60.0,0.46,nominal
49,60.0,0.56,nominal
50,60.0,0.54,nominal
51,60.0,0.63,nominal
52,60.0,0.61,nominal
53,60.0,0.52,nominal
54,60.0,0.54,nominal
55,60.0,0.48,nominal
56,60.0,0.66,nominal
57,60.0,0.48,nominal
58,60.0,0.54,nominal
59,60.0,0.46,nominal
60,60.0,0.52,nominal
61,60.0,0.50,nominal
62,60.0,0.45,nominal
63,60.0,0.61,nominal
64,60.0,0.55,nominal
65,60.0,0.50,nominal
66,60.0,0.51,nominal
67,60.0,0.46,nominal
68,60.0,0.48,nominal
69,60.0,0.50,nominal
70,60.0,0.47,nominal
71,60.0,0.56,nominal
72,60.0,0.44,nominal
73,60.0,0.68,nominal
74,60.0,0.51,nominal
75,60.0,0.53,nominal
76,60.0,0.47,nominal
77,60.0,0.50,nominal
78,60.0,0.58,nominal
79,60.0,0.49,nominal
80,60.0,0.52,nominal
81,60.0,0.51,nominal
82,60.0,0.46,nominal
83,60.0,0.51,nominal
84,60.0,0.58,nominal
85,60.0,0.49,nominal
86,60.0,0.44,nominal
87,60.0,0.44,nominal
88,60.0,0.48,nominal
89,60.0,0.43,nominal
90,60.0,0.49,nominal
91,60.0,0.55,nominal
92,60.0,0.44,nominal
94,60.0,0.44,nominal
95,60.0,0.54,nominal
96,60.0,0.48,nominal
97,60.0,0.47,nominal
98,60.0,0.48,nominal
99,60.0,0.58,nominal
100,60.0,0.44,nominal
101,60.0,0.46,nominal
102,60.0,0.52,nominal
103,60.0,0.48,nominal
104,60.0,0.47,nominal
105,60.0,0.50,nominal
106,60.0,0.47,nominal
107,60.0,0.50,nominal
108,60.0,0.44,nominal
109,60.0,0.46,nominal
110,60.0,0.57,nominal
111,60.0,0.45,nominal
112,60.0,0.57,nominal
113,60.0,0.36,nominal
114,60.0,0.47,nominal
115,60.0,0.33,nominal
116,60.0,0.53,nominal
117,60.0,0.52,nominal
118,60.0,0.38,nominal
119,60.0,0.55,nominal
120,60.0,0.54,nominal
121,60.0,0.59,nominal
122,60.0,0.55,nominal
123,60.0,0.50,nominal
124,60.0,0.45,nominal
125,60.0,0.44,nominal
126,60.0,0.59,nominal
127,60.0,0.59,nominal
128,60.0,0.61,nominal
129,60.0,0.58,nominal
130,60.0,0.55,nominal
131,60.0,0.57,nominal
132,60.0,0.43,nominal
133,60.0,0.43,nominal
134,60.0,0.43,nominal
135,60.0,0.42,nominal
136,60.0,0.50,nominal
137,60.0,0.52,nominal
138,60.0,0.47,nominal
139,60.0,0.44,nominal
140,60.0,0.61,nominal
141,60.0,0.46,nominal
142,60.0,0.47,nominal
143,60.0,0.46,nominal
144,60.0,0.51,nominal
145,60.0,0.54,nominal
146,60.0,0.45,nominal
147,60.0,0.45,nominal
148,60.0,0.57,nominal
149,60.0,0.55,nominal
150,60.0,0.50,nominal
151,60.0,0.55,nominal
152,60.0,0.46,nominal
153,60.0,0.46,nominal
155,60.0,0.48,nominal
156,60.0,0.42,nominal
157,60.0,0.46,nominal
158,60.0,0.43,nominal
159,60.0,0.60,nominal
160,60.0,0.50,nominal
161,60.0,0.43,nominal
162,60.0,0.40,nominal
163,60.0,0.42,nominal
164,60.0,0.48,nominal
165,60.0,0.59,nominal
166,60.0,0.52,nominal
167,60.0,0.46,nominal
168,60.0,0.55,nominal
169,60.0,0.51,nominal
170,60.0,0.43,nominal
171,60.0,0.45,nominal
172,60.0,0.49,nominal
173,60.0,0.41,nominal
174,60.0,0.42,nominal
175,60.0,0.48,nominal
176,60.0,0.47,nominal
177,60.0,0.43,nominal
178,60.0,0.43,nominal
179,60.0,0.41,nominal
180,60.0,0.43,nominal
181,60.0,0.48,nominal
182,60.0,0.45,nominal
183,60.0,0.55,nominal
184,60.0,0.42,nominal
185,60.0,0.53,nominal
186,60.0,0.53,nominal
187,60.0,0.39,nominal
188,60.0,0.41,nominal
189,60.0,0.42,nominal
190,60.0,0.45,nominal
191,60.0,0.50,nominal
192,60.0,0.40,nominal
193,60.0,0.46,nominal
194,60.0,0.45,nominal
195,60.0,0.41,nominal
196,60.0,0.45,nominal
197,60.0,0.44,nominal
198,60.0,0.47,nominal
199,60.0,0.44,nominal
200,60.0,0.55,nominal
201,60.0,0.45,nominal
202,60.0,0.41,nominal
203,60.0,0.41,nominal
204,60.0,0.49,nominal
205,60.0,0.53,nominal
206,60.0,0.54,nominal
207,60.0,0.41,nominal
208,60.0,0.42,nominal
209,60.0,0.44,nominal
210,60.0,0.49,nominal
211,56.1,0.56,nominal
212,49.3,33.46,nominal
213,39.3,33.17,nominal
214,40.0,33.06,nominal
216,54.1,32.89,nominal
217,60.0,0.63,nominal
218,60.0,0.42,nominal
219,60.0,0.40,nominal
220,60.0,0.72,nominal
221,60.0,0.42,nominal
222,60.0,0.43,nominal
223,60.0,0.42,nominal
224,60.0,0.44,nominal
225,60.0,0.53,nominal
226,60.0,0.41,nominal
227,60.0,0.47,nominal
228,60.0,0.45,nominal
229,60.0,0.42,nominal
230,60.0,0.49,nominal
231,60.0,0.44,nominal
232,60.0,0.40,nominal
233,60.0,0.42,nominal
234,60.0,0.40,nominal
235,60.0,0.42,nominal
236,60.0,0.44,nominal
237,60.0,0.43,nominal
238,60.0,0.45,nominal
239,60.0,0.38,nominal
240,60.0,0.43,nominal
241,60.0,0.43,nominal
242,60.0,0.42,nominal
243,60.0,0.46,nominal
244,60.0,0.46,nominal
245,60.0,0.43,nominal
246,60.0,0.48,nominal
247,60.0,0.44,nominal
248,60.0,0.46,nominal
249,60.0,0.43,nominal
250,60.0,0.58,nominal
251,60.0,0.44,nominal
252,60.0,0.42,nominal
253,60.0,0.41,nominal
254,60.0,0.39,nominal
255,60.0,0.38,nominal
256,60.0,0.40,nominal
257,60.0,0.45,nominal
258,60.0,0.42,nominal
259,60.0,0.40,nominal
260,60.0,0.58,nominal
261,60.0,0.58,nominal
262,60.0,0.44,nominal
263,60.0,0.48,nominal
264,60.0,0.40,nominal
265,60.0,0.44,nominal
266,60.0,0.42,nominal
267,60.0,0.43,nominal
268,60.0,0.45,nominal
269,60.0,0.48,nominal
270,60.0,0.40,nominal
271,60.0,0.61,nominal
272,60.0,0.44,nominal
273,60.0,0.49,nominal
274,60.0,0.55,nominal
275,60.0,0.48,nominal
277,60.0,0.51,nominal
278,60.0,0.46,nominal
279,60.0,0.45,nominal
280,60.0,0.46,nominal
281,60.0,0.42,nominal
282,60.0,0.44,nominal
283,60.0,0.47,nominal
284,60.0,0.47,nominal
285,60.0,0.44,nominal
286,60.0,0.36,nominal
287,60.0,0.41,nominal
288,60.0,0.37,nominal
289,60.0,0.47,nominal
290,60.0,0.45,nominal
291,60.0,0.43,nominal
292,60.0,0.46,nominal
293,60.0,0.45,nominal
294,60.0,0.49,nominal
295,60.0,0.38,nominal
296,60.0,0.52,nominal
297,60.0,0.51,nominal
298,60.0,0.40,nominal
299,60.0,0.49,nominal
300,60.0,0.45,nominal
301,60.0,0.44,nominal
302,60.0,0.54,nominal
303,60.0,0.43,nominal
304,60.0,0.36,nominal
305,60.0,0.61,nominal
306,60.0,0.57,nominal
307,60.0,0.57,nominal
308,60.0,0.42,nominal
309,60.0,0.64,nominal
310,60.0,0.39,nominal
311,60.0,0.43,nominal
312,60.0,0.41,nominal
313,60.0,0.45,nominal
314,60.0,0.37,nominal
315,60.0,0.36,nominal
316,60.0,0.40,nominal
317,60.0,0.38,nominal
318,60.0,0.67,nominal
319,60.0,0.48,nominal
320,60.0,0.38,nominal
321,60.0,0.42,nominal
322,60.0,0.38,nominal
323,60.0,0.38,nominal
324,60.0,0.48,nominal
325,60.0,0.47,nominal
326,60.0,0.49,nominal
327,60.0,0.53,nominal
328,60.0,0.47,nominal
329,60.0,0.64,nominal
330,60.0,0.48,nominal
331,60.0,0.45,nominal
332,60.0,0.49,nominal
333,60.0,0.49,nominal
334,60.0,0.45,nominal
335,60.0,0.39,nominal
336,60.0,0.45,nominal
338,60.0,0.33,nominal
339,60.0,0.39,nominal
340,60.0,0.39,nominal
341,60.0,0.47,nominal
342,60.0,0.59,nominal
343,60.0,0.36,nominal
344,60.0,0.37,nominal
345,60.0,0.43,nominal
346,60.0,0.40,nominal
347,60.0,0.57,nominal
348,60.0,16.54,nominal
