t,src,status,d1,d2
1788429383.150360,iOS Bluetooth,176,101,0
1788429383.150360,iOS Bluetooth,176,100,6
1788429383.150360,iOS Bluetooth,176,6,15
1788429383.150360,iOS Bluetooth,176,101,127
1788429383.150360,iOS Bluetooth,176,100,127
1788429383.150360,iOS Bluetooth,177,101,0
1788429383.150360,iOS Bluetooth,177,100,0
1788429383.150360,iOS Bluetooth,177,6,48
1788429383.150360,iOS Bluetooth,177,101,127
1788429383.150360,iOS Bluetooth,177,100,127
1788429383.150360,iOS Bluetooth,178,101,0
1788429383.150360,iOS Bluetooth,178,100,0
1788429383.150360,iOS Bluetooth,178,6,48
1788429383.150360,iOS Bluetooth,178,101,127
1788429383.150360,iOS Bluetooth,178,100,127
1788429383.150360,iOS Bluetooth,179,101,0
1788429383.150360,iOS Bluetooth,179,100,0
1788429383.150360,iOS Bluetooth,179,6,48
1788429383.150360,iOS Bluetooth,179,101,127
1788429383.150360,iOS Bluetooth,179,100,127
1788429383.150360,iOS Bluetooth,180,101,0
1788429383.150360,iOS Bluetooth,180,100,0
1788429383.150360,iOS Bluetooth,180,6,48
1788429383.150360,iOS Bluetooth,180,101,127
1788429383.150360,iOS Bluetooth,180,100,127
1788429383.150360,iOS Bluetooth,181,101,0
1788429383.150360,iOS Bluetooth,181,100,0
1788429383.150360,iOS Bluetooth,181,6,48
1788429383.150360,iOS Bluetooth,181,101,127
1788429383.150360,iOS Bluetooth,181,100,127
1788429383.150360,iOS Bluetooth,182,101,0
1788429383.150360,iOS Bluetooth,182,100,0
1788429383.150360,iOS Bluetooth,182,6,48
1788429383.150360,iOS Bluetooth,182,101,127
1788429383.150360,iOS Bluetooth,182,100,127
1788429383.150360,iOS Bluetooth,183,101,0
1788429383.150360,iOS Bluetooth,183,100,0
1788429383.150360,iOS Bluetooth,183,6,48
1788429383.150360,iOS Bluetooth,183,101,127
1788429383.150360,iOS Bluetooth,183,100,127
1788429383.150360,iOS Bluetooth,184,101,0
1788429383.150360,iOS Bluetooth,184,100,0
1788429383.150360,iOS Bluetooth,184,6,48
1788429383.150360,iOS Bluetooth,184,101,127
