t,src,status,d1,d2
1788426318.377709,Réseau Session RTP 1,176,101,127
1788426318.377709,Réseau Session RTP 1,176,100,127
1788426318.377709,Réseau Session RTP 1,177,101,0
1788426318.386750,Réseau Session RTP 1,177,100,0
1788426318.386750,Réseau Session RTP 1,177,6,48
1788426318.386750,Réseau Session RTP 1,177,101,127
1788426318.411356,Réseau Session RTP 1,177,100,127
1788426318.411356,Réseau Session RTP 1,178,101,0
1788426318.411356,Réseau Session RTP 1,178,100,0
1788426318.423342,Réseau Session RTP 1,178,6,48
1788426318.423342,Réseau Session RTP 1,178,101,127
1788426318.423342,Réseau Session RTP 1,178,100,127
1788426318.430274,Réseau Session RTP 1,179,101,0
1788426318.430274,Réseau Session RTP 1,179,100,0
1788426318.430274,Réseau Session RTP 1,179,6,48
1788426318.430274,Réseau Session RTP 1,179,101,127
1788426318.446785,Réseau Session RTP 1,179,100,127
1788426318.446785,Réseau Session RTP 1,180,101,0
1788426318.446785,Réseau Session RTP 1,180,100,0
1788426318.456813,Réseau Session RTP 1,180,6,48
1788426318.456813,Réseau Session RTP 1,180,101,127
1788426318.456813,Réseau Session RTP 1,180,100,127
1788426318.467054,Réseau Session RTP 1,181,101,0
1788426318.467054,Réseau Session RTP 1,181,100,0
1788426318.467054,Réseau Session RTP 1,181,6,48
1788426318.477276,Réseau Session RTP 1,181,101,127
1788426318.477276,Réseau Session RTP 1,181,100,127
1788426318.477276,Réseau Session RTP 1,182,101,0
1788426318.494491,Réseau Session RTP 1,182,100,0
1788426318.494491,Réseau Session RTP 1,182,6,48
1788426318.494491,Réseau Session RTP 1,182,101,127
1788426318.508805,Réseau Session RTP 1,182,100,127
1788426318.508805,Réseau Session RTP 1,183,101,0
1788426318.508805,Réseau Session RTP 1,183,100,0
1788426318.520891,Réseau Session RTP 1,183,6,48
1788426318.520891,Réseau Session RTP 1,183,101,127
1788426318.520891,Réseau Session RTP 1,183,100,127
1788426318.520891,Réseau Session RTP 1,184,101,0
1788426318.539546,Réseau Session RTP 1,184,100,0
1788426318.539546,Réseau Session RTP 1,184,6,48
1788426318.539546,Réseau Session RTP 1,184,101,127
1788426318.539546,Réseau Session RTP 1,184,100,127
1788426318.555402,Réseau Session RTP 1,185,101,0
1788426318.555402,Réseau Session RTP 1,185,100,0
1788426318.555402,Réseau Session RTP 1,185,6,48
1788426318.555402,Réseau Session RTP 1,185,101,127
1788426318.555402,Réseau Session RTP 1,185,100,127
1788426318.574832,Réseau Session RTP 1,186,101,0
1788426318.574832,Réseau Session RTP 1,186,100,0
1788426318.574832,Réseau Session RTP 1,186,6,48
1788426318.586845,Réseau Session RTP 1,186,101,127
1788426318.586845,Réseau Session RTP 1,186,100,127
1788426318.586845,Réseau Session RTP 1,187,101,0
1788426318.586845,Réseau Session RTP 1,187,100,0
1788426318.604914,Réseau Session RTP 1,187,6,48
1788426318.604914,Réseau Session RTP 1,187,101,127
1788426318.604914,Réseau Session RTP 1,187,100,127
1788426318.604914,Réseau Session RTP 1,188,101,0
1788426318.620807,Réseau Session RTP 1,188,100,0
1788426318.620807,Réseau Session RTP 1,188,6,48
1788426318.620807,Réseau Session RTP 1,188,101,127
1788426318.620807,Réseau Session RTP 1,188,100,127
1788426318.639782,Réseau Session RTP 1,189,101,0
1788426318.639782,Réseau Session RTP 1,189,100,0
1788426318.639782,Réseau Session RTP 1,189,6,48
1788426318.639782,Réseau Session RTP 1,189,101,127
1788426318.658913,Réseau Session RTP 1,189,100,127
1788426318.658913,Réseau Session RTP 1,190,101,0
1788426318.658913,Réseau Session RTP 1,190,100,0
1788426318.658913,Réseau Session RTP 1,190,6,48
1788426318.658913,Réseau Session RTP 1,190,101,127
1788426318.674883,Réseau Session RTP 1,190,100,127
1788426318.674883,Réseau Session RTP 1,191,101,0
