t,src,status,d1,d2
1788425696.598219,Réseau Session RTP 1,225,0,64
1788425696.598219,Réseau Session RTP 1,145,48,96
1788425696.598219,Réseau Session RTP 1,209,47,0
1788425696.598219,Réseau Session RTP 1,229,0,64
1788425696.598219,Réseau Session RTP 1,149,51,96
1788425696.598219,Réseau Session RTP 1,213,49,0
1788425696.598219,Réseau Session RTP 1,231,0,64
1788425696.598219,Réseau Session RTP 1,151,54,96
1788425696.598219,Réseau Session RTP 1,215,12,0
1788425696.598219,Réseau Session RTP 1,228,0,64
1788425696.598219,Réseau Session RTP 1,148,57,96
1788425696.598219,Réseau Session RTP 1,212,29,0
1788425696.598219,Réseau Session RTP 1,230,0,64
1788425696.598219,Réseau Session RTP 1,150,60,96
1788425696.598219,Réseau Session RTP 1,214,51,0
1788425696.598219,Réseau Session RTP 1,232,0,64
1788425696.598219,Réseau Session RTP 1,152,63,96
1788425696.598219,Réseau Session RTP 1,216,19,0
1788425696.599275,Réseau Session RTP 1,235,0,64
1788425696.599275,Réseau Session RTP 1,155,66,96
1788425696.599275,Réseau Session RTP 1,219,10,0
1788425696.599275,Réseau Session RTP 1,226,0,64
1788425696.599275,Réseau Session RTP 1,146,69,96
1788425696.599275,Réseau Session RTP 1,210,74,0
1788425696.599275,Réseau Session RTP 1,233,0,64
1788425696.599275,Réseau Session RTP 1,153,72,96
1788425696.599275,Réseau Session RTP 1,217,36,0
1788425696.599275,Réseau Session RTP 1,234,0,64
1788425696.599275,Réseau Session RTP 1,154,75,96
1788425696.599275,Réseau Session RTP 1,218,4,0
1788425696.599275,Réseau Session RTP 1,176,118,0
1788425696.611516,Réseau Session RTP 1,225,3,64
1788425696.611516,Réseau Session RTP 1,209,49,0
1788425696.611516,Réseau Session RTP 1,226,91,64
1788425696.611516,Réseau Session RTP 1,210,76,0
1788425696.611516,Réseau Session RTP 1,228,28,63
1788425696.611516,Réseau Session RTP 1,229,30,65
1788425696.611516,Réseau Session RTP 1,230,101,62
1788425696.611516,Réseau Session RTP 1,231,93,64
1788425696.611516,Réseau Session RTP 1,232,4,64
1788425696.611516,Réseau Session RTP 1,216,18,0
1788425696.611516,Réseau Session RTP 1,233,25,63
1788425696.611516,Réseau Session RTP 1,217,34,0
1788425696.611516,Réseau Session RTP 1,234,102,62
1788425696.611516,Réseau Session RTP 1,235,30,65
1788425696.611516,Réseau Session RTP 1,219,11,0
1788425696.611516,Réseau Session RTP 1,213,48,0
1788425696.611859,Réseau Session RTP 1,215,11,0
1788425696.611859,Réseau Session RTP 1,212,30,0
1788425696.611859,Réseau Session RTP 1,214,52,0
1788425696.611859,Réseau Session RTP 1,218,5,0
1788425696.623408,Réseau Session RTP 1,225,8,64
1788425696.623408,Réseau Session RTP 1,209,51,0
1788425696.623408,Réseau Session RTP 1,226,89,64
1788425696.623408,Réseau Session RTP 1,210,77,0
1788425696.623408,Réseau Session RTP 1,228,25,63
