t,src,status,d1,d2
1788433218.483237,iPad,176,101,0
1788433218.483237,iPad,176,100,6
1788433218.483237,iPad,176,6,15
1788433218.483237,iPad,176,101,127
1788433218.483761,iPad,176,100,127
1788433218.483761,iPad,177,101,0
1788433218.483761,iPad,177,100,0
1788433218.483761,iPad,177,6,48
1788433218.483761,iPad,177,101,127
1788433218.483761,iPad,177,100,127
1788433218.483761,iPad,178,101,0
1788433218.483761,iPad,178,100,0
1788433218.483761,iPad,178,6,48
1788433218.483761,iPad,178,101,127
1788433218.483761,iPad,178,100,127
1788433218.483761,iPad,179,101,0
1788433218.483952,iPad,179,100,0
1788433218.483952,iPad,179,6,48
1788433218.484220,iPad,179,101,127
1788433218.484220,iPad,179,100,127
1788433218.484220,iPad,180,101,0
1788433218.484220,iPad,180,100,0
1788433218.484220,iPad,180,6,48
1788433218.484220,iPad,180,101,127
1788433218.484604,iPad,180,100,127
1788433218.484604,iPad,181,101,0
1788433218.484604,iPad,181,100,0
1788433218.484604,iPad,181,6,48
1788433218.484604,iPad,181,101,127
1788433218.484604,iPad,181,100,127
1788433218.484991,iPad,182,101,0
1788433218.484991,iPad,182,100,0
1788433218.484991,iPad,182,6,48
1788433218.484991,iPad,182,101,127
1788433218.484991,iPad,182,100,127
1788433218.484991,iPad,183,101,0
1788433218.485394,iPad,183,100,0
1788433218.485394,iPad,183,6,48
1788433218.485394,iPad,183,101,127
1788433218.485394,iPad,183,100,127
1788433218.485394,iPad,184,101,0
1788433218.485394,iPad,184,100,0
1788433218.485504,iPad,184,6,48
1788433218.485526,iPad,184,101,127
1788433218.485588,iPad,184,100,127
1788433218.485588,iPad,185,101,0
1788433218.485622,iPad,185,100,0
1788433218.485673,iPad,185,6,48
1788433218.485763,iPad,185,101,127
1788433218.486097,iPad,185,100,127
1788433218.486097,iPad,186,101,0
1788433218.486097,iPad,186,100,0
1788433218.486097,iPad,186,6,48
1788433218.486097,iPad,186,101,127
1788433218.486097,iPad,186,100,127
1788433218.486466,iPad,187,101,0
1788433218.486466,iPad,187,100,0
1788433218.486466,iPad,187,6,48
1788433218.486466,iPad,187,101,127
1788433218.486466,iPad,187,100,127
1788433218.486466,iPad,188,101,0
1788433218.486807,iPad,188,100,0
1788433218.486807,iPad,188,6,48
1788433218.486807,iPad,188,101,127
1788433218.486807,iPad,188,100,127
1788433218.486807,iPad,189,101,0
1788433218.486807,iPad,189,100,0
1788433218.486896,iPad,189,6,48
1788433218.487224,iPad,189,101,127
1788433218.487224,iPad,189,100,127
1788433218.487224,iPad,190,101,0
1788433218.487224,iPad,190,100,0
1788433218.487224,iPad,190,6,48
1788433218.487224,iPad,190,101,127
1788433218.487311,iPad,190,100,127
1788433218.487326,iPad,191,101,0
1788433218.487695,iPad,191,100,0
1788433218.487695,iPad,191,6,48
1788433218.487695,iPad,191,101,127
1788433218.487695,iPad,191,100,127
1788433225.847952,iPad,176,101,0
1788433225.847952,iPad,176,100,6
1788433225.847952,iPad,176,6,15
1788433225.848114,iPad,176,101,127
1788433225.848114,iPad,176,100,127
1788433225.848202,iPad,177,101,0
1788433225.848299,iPad,177,100,0
1788433225.848299,iPad,177,6,48
1788433225.848392,iPad,177,101,127
