t_s,port,port_name,status,d1,d2
6305.031379,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,176,101,0
6305.036152,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,176,100,6
6305.036157,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,176,6,15
6305.036157,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,176,101,127
6305.036158,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,176,100,127
6305.036158,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,177,101,0
6305.036158,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,177,100,0
6305.036158,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,177,6,48
6305.036159,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,177,101,127
6305.036159,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,177,100,127
6305.036312,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,178,101,0
6305.036314,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,178,100,0
6305.036314,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,178,6,48
6305.036315,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,178,101,127
6305.036315,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,178,100,127
6305.036315,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,179,101,0
6305.036316,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,179,100,0
6305.036316,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,179,6,48
6305.036316,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,179,101,127
6305.036316,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,179,100,127
6305.036317,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,180,101,0
6305.036317,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,180,100,0
6305.036317,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,180,6,48
6305.036317,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,180,101,127
6305.036318,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,180,100,127
6305.036318,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,181,101,0
6305.036318,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,181,100,0
6305.036318,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,181,6,48
