t,status,d1,d2,src
697563.7504,176,101,0,2
697563.7504,176,100,6,2
697563.7504,176,6,15,2
697563.7504,176,101,127,2
697563.7504,176,100,127,2
697563.7504,177,101,0,2
697563.7504,177,100,0,2
697563.7504,177,6,48,2
697563.7504,177,101,127,2
697563.7504,177,100,127,2
697563.7504,178,101,0,2
697563.7504,178,100,0,2
697563.7504,178,6,48,2
697563.7504,178,101,127,2
697563.7504,178,100,127,2
697563.7504,179,101,0,2
697563.7504,179,100,0,2
697563.7504,179,6,48,2
697563.7504,179,101,127,2
697563.7504,179,100,127,2
697563.7504,180,101,0,2
697563.7504,180,100,0,2
697563.7504,180,6,48,2
697563.7504,180,101,127,2
697563.7504,180,100,127,2
697563.7504,181,101,0,2
697563.7504,181,100,0,2
697563.7504,181,6,48,2
697563.7504,181,101,127,2
697563.7504,181,100,127,2
697563.7504,182,101,0,2
697563.7504,182,100,0,2
697563.7504,182,6,48,2
697563.7504,182,101,127,2
697563.7504,182,100,127,2
697563.7504,183,101,0,2
697563.7504,183,100,0,2
697563.7504,183,6,48,2
697563.7504,183,101,127,2
697563.7504,183,100,127,2
697563.7504,184,101,0,2
697563.7504,184,100,0,2
697563.7504,184,6,48,2
697563.7504,184,101,127,2
697563.7504,184,100,127,2
697563.7504,185,101,0,2
697563.7504,185,100,0,2
697563.7504,185,6,48,2
697563.7504,185,101,127,2
697563.7504,185,100,127,2
697563.7504,186,101,0,2
697563.7504,186,100,0,2
697563.7504,186,6,48,2
697563.7504,186,101,127,2
697563.7504,186,100,127,2
697563.7504,187,101,0,2
697563.7504,187,100,0,2
697563.7504,187,6,48,2
697563.7504,187,101,127,2
697563.7504,187,100,127,2
697563.7504,188,101,0,2
697563.7504,188,100,0,2
697563.7504,188,6,48,2
697563.7504,188,101,127,2
697563.7504,188,100,127,2
697563.7504,189,101,0,2
697563.7504,189,100,0,2
697563.7504,189,6,48,2
697563.7504,189,101,127,2
697563.7504,189,100,127,2
697563.7504,190,101,0,2
697563.7504,190,100,0,2
697563.7504,190,6,48,2
697563.7504,190,101,127,2
697563.7504,190,100,127,2
697563.7504,191,101,0,2
697563.7504,191,100,0,2
697563.7504,191,6,48,2
697563.7504,191,101,127,2
697563.7504,191,100,127,2
697563.7504,224,0,64,3
697563.7504,176,1,0,3
697563.7504,176,23,0,3
697563.7504,176,24,0,3
697563.7504,176,64,0,3
697563.7958,176,101,0,2
697563.7958,176,100,6,2
697563.7958,176,6,15,2
697563.7958,176,101,127,2
697563.7958,176,100,127,2
697563.7958,177,101,0,2
697563.7958,177,100,0,2
697563.7958,177,6,48,2
697563.7958,177,101,127,2
697563.7958,177,100,127,2
697563.7958,178,101,0,2
697563.7958,178,100,0,2
697563.7958,178,6,48,2
697563.7958,178,101,127,2
697563.7958,178,100,127,2
697563.7958,179,101,0,2
697563.7958,179,100,0,2
697563.7958,179,6,48,2
697563.7958,179,101,127,2
697563.7958,179,100,127,2
697563.7958,180,101,0,2
697563.7958,180,100,0,2
697563.7958,180,6,48,2
697563.7958,180,101,127,2
697563.7958,180,100,127,2
697563.7958,181,101,0,2
697563.7958,181,100,0,2
697563.7958,181,6,48,2
697563.7958,181,101,127,2
697563.7958,181,100,127,2
697563.7958,182,101,0,2
697563.7958,182,100,0,2
697563.7958,182,6,48,2
697563.7958,182,101,127,2
697563.7958,182,100,127,2
697563.7958,183,101,0,2
697563.7958,183,100,0,2
697563.7958,183,6,48,2
697563.7958,183,101,127,2
697563.7958,183,100,127,2
697563.7958,184,101,0,2
697563.7958,184,100,0,2
697563.7958,184,6,48,2
697563.7958,184,101,127,2
697563.7958,184,100,127,2
697563.7958,185,101,0,2
697563.7958,185,100,0,2
697563.7958,185,6,48,2
697563.7958,185,101,127,2
697563.7958,185,100,127,2
697563.7958,186,101,0,2
697563.7958,186,100,0,2
697563.7958,186,6,48,2
697563.7958,186,101,127,2
697563.7958,186,100,127,2
697563.7958,187,101,0,2
697563.7958,187,100,0,2
697563.7958,187,6,48,2
697563.7958,187,101,127,2
697563.7958,187,100,127,2
697563.7958,188,101,0,2
697563.7958,188,100,0,2
697563.7958,188,6,48,2
697563.7958,188,101,127,2
697563.7958,188,100,127,2
697563.7958,189,101,0,2
697563.7958,189,100,0,2
697563.7958,189,6,48,2
697563.7958,189,101,127,2
697563.7958,189,100,127,2
697563.7958,190,101,0,2
697563.7958,190,100,0,2
697563.7958,190,6,48,2
697563.7958,190,101,127,2
697563.7958,190,100,127,2
697563.7958,191,101,0,2
697563.7958,191,100,0,2
697563.7958,191,6,48,2
697563.7958,191,101,127,2
697563.7958,191,100,127,2
697563.7958,224,0,64,3
697563.7958,176,1,0,3
697563.7958,176,23,0,3
697563.7958,176,24,0,3
