t,status,d1,d2,src
0.0,225,0,64,4
0.01,145,60,100,4
0.02,225,9,64,4
0.04,225,17,64,4
0.06,225,26,64,4
0.08,225,34,64,4
0.1,225,43,64,4
0.12000000000000001,225,51,64,4
0.14,225,60,64,4
0.16,225,68,64,4
0.18,225,77,64,4
0.19999999999999998,225,85,64,4
0.21999999999999997,225,0,64,4
0.22099999999999997,145,61,100,4
0.22199999999999998,129,60,0,4
0.24099999999999996,225,51,63,4
0.26099999999999995,225,60,63,4
0.28099999999999997,225,68,63,4
0.301,225,77,63,4
0.321,225,85,63,4
0.341,209,0,0,4
0.342,129,61,64,4
# dropped_loopback_messages: 0
