t,status,d1,d2,src
690690.8909,176,101,0,2
690690.8909,176,100,6,2
690690.8909,176,6,15,2
690690.8909,176,101,127,2
690690.8909,176,100,127,2
690690.8909,177,101,0,2
690690.8909,177,100,0,2
690690.8909,177,6,48,2
690690.8909,177,101,127,2
690690.8909,177,100,127,2
690690.8909,178,101,0,2
690690.8909,178,100,0,2
690690.8909,178,6,48,2
690690.8909,178,101,127,2
690690.8909,178,100,127,2
690690.8909,179,101,0,2
690690.8909,179,100,0,2
690690.8909,179,6,48,2
690690.8909,179,101,127,2
690690.8909,179,100,127,2
690690.8909,180,101,0,2
690690.8909,180,100,0,2
690690.8909,180,6,48,2
690690.8909,180,101,127,2
690690.8909,180,100,127,2
690690.8909,181,101,0,2
690690.8909,181,100,0,2
690690.8909,181,6,48,2
690690.8909,181,101,127,2
690690.8909,181,100,127,2
690690.8909,182,101,0,2
690690.8909,182,100,0,2
690690.8909,182,6,48,2
690690.8909,182,101,127,2
690690.8909,182,100,127,2
690690.8909,183,101,0,2
690690.8909,183,100,0,2
690690.8909,183,6,48,2
690690.8909,183,101,127,2
690690.8909,183,100,127,2
690690.8909,184,101,0,2
690690.8909,184,100,0,2
690690.8909,184,6,48,2
690690.8909,184,101,127,2
690690.8909,184,100,127,2
690690.8909,185,101,0,2
690690.8909,185,100,0,2
690690.8909,185,6,48,2
690690.8909,185,101,127,2
690690.8909,185,100,127,2
690690.8909,186,101,0,2
690690.8909,186,100,0,2
690690.8909,186,6,48,2
690690.8909,186,101,127,2
690690.8909,186,100,127,2
690690.8909,187,101,0,2
690690.8909,187,100,0,2
690690.8909,187,6,48,2
690690.8909,187,101,127,2
690690.8909,187,100,127,2
690690.8909,188,101,0,2
690690.8909,188,100,0,2
690690.8909,188,6,48,2
690690.8909,188,101,127,2
690690.8909,188,100,127,2
690690.8909,189,101,0,2
690690.8909,189,100,0,2
690690.8909,189,6,48,2
690690.8909,189,101,127,2
690690.8909,189,100,127,2
690690.8909,190,101,0,2
690690.8909,190,100,0,2
690690.8909,190,6,48,2
690690.8909,190,101,127,2
690690.8909,190,100,127,2
690690.8909,191,101,0,2
690690.8909,191,100,0,2
690690.8909,191,6,48,2
690690.8909,191,101,127,2
690690.8909,191,100,127,2
690690.8909,224,0,64,3
690690.8909,176,1,0,3
690690.8909,176,23,0,3
690690.8909,176,24,0,3
690690.8909,176,64,0,3
690690.9208,176,101,0,2
690690.9208,176,100,6,2
690690.9208,176,6,15,2
690690.9208,176,101,127,2
690690.9208,176,100,127,2
690690.9208,177,101,0,2
690690.9208,177,100,0,2
690690.9208,177,6,48,2
690690.9208,177,101,127,2
690690.9208,177,100,127,2
690690.9208,178,101,0,2
690690.9208,178,100,0,2
690690.9208,178,6,48,2
690690.9208,178,101,127,2
690690.9208,178,100,127,2
690690.9208,179,101,0,2
690690.9208,179,100,0,2
690690.9208,179,6,48,2
690690.9208,179,101,127,2
690690.9208,179,100,127,2
690690.9208,180,101,0,2
690690.9208,180,100,0,2
690690.9208,180,6,48,2
690690.9208,180,101,127,2
690690.9208,180,100,127,2
690690.9208,181,101,0,2
690690.9208,181,100,0,2
690690.9208,181,6,48,2
690690.9208,181,101,127,2
690690.9208,181,100,127,2
690690.9208,182,101,0,2
690690.9208,182,100,0,2
690690.9208,182,6,48,2
690690.9208,182,101,127,2
690690.9208,182,100,127,2
690690.9208,183,101,0,2
690690.9208,183,100,0,2
690690.9208,183,6,48,2
690690.9208,183,101,127,2
690690.9208,183,100,127,2
690690.9208,184,101,0,2
690690.9208,184,100,0,2
690690.9208,184,6,48,2
690690.9208,184,101,127,2
690690.9208,184,100,127,2
690690.9208,185,101,0,2
690690.9208,185,100,0,2
690690.9208,185,6,48,2
690690.9208,185,101,127,2
690690.9208,185,100,127,2
690690.9208,186,101,0,2
690690.9208,186,100,0,2
690690.9208,186,6,48,2
690690.9208,186,101,127,2
690690.9208,186,100,127,2
690690.9208,187,101,0,2
690690.9208,187,100,0,2
690690.9208,187,6,48,2
690690.9208,187,101,127,2
690690.9208,187,100,127,2
690690.9208,188,101,0,2
690690.9208,188,100,0,2
690690.9208,188,6,48,2
690690.9208,188,101,127,2
690690.9208,188,100,127,2
690690.9208,189,101,0,2
690690.9208,189,100,0,2
690690.9208,189,6,48,2
690690.9208,189,101,127,2
690690.9208,189,100,127,2
690690.9208,190,101,0,2
690690.9208,190,100,0,2
690690.9208,190,6,48,2
690690.9208,190,101,127,2
