t,status,d1,d2,src
702316.6259,176,101,0,2
702316.6259,176,100,6,2
702316.6259,176,6,15,2
702316.6259,176,101,127,2
702316.6259,176,100,127,2
702316.6259,177,101,0,2
702316.6259,177,100,0,2
702316.6259,177,6,48,2
702316.6259,177,101,127,2
702316.6259,177,100,127,2
702316.6259,178,101,0,2
702316.6259,178,100,0,2
702316.6259,178,6,48,2
702316.6259,178,101,127,2
702316.6259,178,100,127,2
702316.6259,179,101,0,2
702316.6259,179,100,0,2
702316.6259,179,6,48,2
702316.6259,179,101,127,2
702316.6259,179,100,127,2
702316.6259,180,101,0,2
702316.6259,180,100,0,2
702316.6259,180,6,48,2
702316.6259,180,101,127,2
702316.6259,180,100,127,2
702316.6259,181,101,0,2
702316.6259,181,100,0,2
702316.6259,181,6,48,2
702316.6259,181,101,127,2
702316.6259,181,100,127,2
702316.6259,182,101,0,2
702316.6259,182,100,0,2
702316.6259,182,6,48,2
702316.6259,182,101,127,2
702316.6259,182,100,127,2
702316.6259,183,101,0,2
702316.6259,183,100,0,2
702316.6259,183,6,48,2
702316.6259,183,101,127,2
702316.6259,183,100,127,2
702316.6259,184,101,0,2
702316.6259,184,100,0,2
702316.6259,184,6,48,2
702316.6259,184,101,127,2
702316.6259,184,100,127,2
702316.6259,185,101,0,2
702316.6259,185,100,0,2
702316.6259,185,6,48,2
702316.6259,185,101,127,2
702316.6259,185,100,127,2
702316.6259,186,101,0,2
702316.6259,186,100,0,2
702316.6259,186,6,48,2
702316.6259,186,101,127,2
702316.6259,186,100,127,2
702316.6259,187,101,0,2
702316.6259,187,100,0,2
702316.6259,187,6,48,2
702316.6259,187,101,127,2
702316.6259,187,100,127,2
702316.6259,188,101,0,2
702316.6259,188,100,0,2
702316.6259,188,6,48,2
702316.6259,188,101,127,2
702316.6259,188,100,127,2
702316.6259,189,101,0,2
702316.6259,189,100,0,2
702316.6259,189,6,48,2
702316.6259,189,101,127,2
702316.6259,189,100,127,2
702316.6259,190,101,0,2
702316.6259,190,100,0,2
702316.6259,190,6,48,2
702316.6259,190,101,127,2
702316.6259,190,100,127,2
702316.6259,191,101,0,2
702316.6259,191,100,0,2
702316.6259,191,6,48,2
702316.6259,191,101,127,2
702316.6259,191,100,127,2
702316.6259,224,0,64,3
702316.6259,176,1,0,3
702316.6259,176,23,0,3
702316.6259,176,24,0,3
702316.6259,176,64,0,3
702324.5119,176,101,0,2
702324.5119,176,100,6,2
702324.5119,176,6,15,2
702324.5119,176,101,127,2
702324.5119,176,100,127,2
702324.5119,177,101,0,2
702324.5119,177,100,0,2
702324.5119,177,6,48,2
702324.5119,177,101,127,2
702324.5119,177,100,127,2
702324.5119,178,101,0,2
702324.5119,178,100,0,2
702324.5119,178,6,48,2
702324.5119,178,101,127,2
702324.5119,178,100,127,2
702324.5119,179,101,0,2
702324.5119,179,100,0,2
702324.5119,179,6,48,2
702324.5119,179,101,127,2
702324.5119,179,100,127,2
702324.5119,180,101,0,2
702324.5119,180,100,0,2
702324.5119,180,6,48,2
702324.5119,180,101,127,2
702324.5119,180,100,127,2
702324.5119,181,101,0,2
702324.5119,181,100,0,2
702324.5119,181,6,48,2
702324.5119,181,101,127,2
702324.5119,181,100,127,2
702324.5119,182,101,0,2
702324.5119,182,100,0,2
702324.5119,182,6,48,2
702324.5119,182,101,127,2
702324.5119,182,100,127,2
702324.5119,183,101,0,2
702324.5119,183,100,0,2
702324.5119,183,6,48,2
702324.5119,183,101,127,2
702324.5119,183,100,127,2
702324.5119,184,101,0,2
702324.5119,184,100,0,2
702324.5119,184,6,48,2
702324.5119,184,101,127,2
702324.5119,184,100,127,2
702324.5119,185,101,0,2
702324.5119,185,100,0,2
702324.5119,185,6,48,2
702324.5119,185,101,127,2
702324.5119,185,100,127,2
702324.5119,186,101,0,2
702324.5119,186,100,0,2
702324.5119,186,6,48,2
702324.5119,186,101,127,2
702324.5119,186,100,127,2
702324.5119,187,101,0,2
702324.5119,187,100,0,2
702324.5119,187,6,48,2
702324.5119,187,101,127,2
702324.5119,187,100,127,2
