t,status,d1,d2,src
690938.7316,176,101,0,2
690938.7316,176,100,6,2
690938.7316,176,6,15,2
690938.7316,176,101,127,2
690938.7316,176,100,127,2
690938.7316,177,101,0,2
690938.7316,177,100,0,2
690938.7316,177,6,48,2
690938.7316,177,101,127,2
690938.7316,177,100,127,2
690938.7316,178,101,0,2
690938.7316,178,100,0,2
690938.7316,178,6,48,2
690938.7316,178,101,127,2
690938.7316,178,100,127,2
690938.7316,179,101,0,2
690938.7316,179,100,0,2
690938.7316,179,6,48,2
690938.7316,179,101,127,2
690938.7316,179,100,127,2
690938.7316,180,101,0,2
690938.7316,180,100,0,2
690938.7316,180,6,48,2
690938.7316,180,101,127,2
690938.7316,180,100,127,2
690938.7316,181,101,0,2
690938.7316,181,100,0,2
690938.7316,181,6,48,2
690938.7316,181,101,127,2
690938.7316,181,100,127,2
690938.7316,182,101,0,2
690938.7316,182,100,0,2
690938.7316,182,6,48,2
690938.7316,182,101,127,2
690938.7316,182,100,127,2
690938.7316,183,101,0,2
690938.7316,183,100,0,2
690938.7316,183,6,48,2
690938.7316,183,101,127,2
690938.7316,183,100,127,2
690938.7316,184,101,0,2
690938.7316,184,100,0,2
690938.7316,184,6,48,2
690938.7316,184,101,127,2
690938.7316,184,100,127,2
690938.7316,185,101,0,2
690938.7316,185,100,0,2
690938.7316,185,6,48,2
690938.7316,185,101,127,2
690938.7316,185,100,127,2
690938.7316,186,101,0,2
690938.7316,186,100,0,2
690938.7316,186,6,48,2
690938.7316,186,101,127,2
690938.7316,186,100,127,2
690938.7316,187,101,0,2
690938.7316,187,100,0,2
690938.7316,187,6,48,2
690938.7316,187,101,127,2
690938.7316,187,100,127,2
690938.7316,188,101,0,2
690938.7316,188,100,0,2
690938.7316,188,6,48,2
690938.7316,188,101,127,2
690938.7316,188,100,127,2
690938.7316,189,101,0,2
690938.7316,189,100,0,2
690938.7316,189,6,48,2
690938.7316,189,101,127,2
690938.7316,189,100,127,2
690938.7316,190,101,0,2
690938.7316,190,100,0,2
690938.7316,190,6,48,2
690938.7316,190,101,127,2
690938.7316,190,100,127,2
690938.7316,191,101,0,2
690938.7316,191,100,0,2
690938.7316,191,6,48,2
690938.7316,191,101,127,2
690938.7316,191,100,127,2
690938.7316,224,0,64,3
690938.7316,176,1,0,3
690938.7316,176,23,0,3
690938.7316,176,24,0,3
690938.7316,176,64,0,3
690938.7719,176,101,0,2
690938.7719,176,100,6,2
690938.7719,176,6,15,2
690938.7719,176,101,127,2
690938.7719,176,100,127,2
690938.7719,177,101,0,2
690938.7719,177,100,0,2
690938.7719,177,6,48,2
690938.7719,177,101,127,2
690938.7719,177,100,127,2
690938.7719,178,101,0,2
690938.7719,178,100,0,2
690938.7719,178,6,48,2
690938.7719,178,101,127,2
690938.7719,178,100,127,2
690938.7719,179,101,0,2
690938.7719,179,100,0,2
690938.7719,179,6,48,2
690938.7719,179,101,127,2
690938.7719,179,100,127,2
690938.7719,180,101,0,2
690938.7719,180,100,0,2
690938.7719,180,6,48,2
690938.7719,180,101,127,2
690938.7719,180,100,127,2
690938.7719,181,101,0,2
690938.7719,181,100,0,2
690938.7719,181,6,48,2
690938.7719,181,101,127,2
690938.7719,181,100,127,2
690938.7719,182,101,0,2
690938.7719,182,100,0,2
690938.7719,182,6,48,2
690938.7719,182,101,127,2
690938.7719,182,100,127,2
690938.7719,183,101,0,2
690938.7719,183,100,0,2
690938.7719,183,6,48,2
690938.7719,183,101,127,2
690938.7719,183,100,127,2
