t_s,port,port_name,status,d1,d2
2482.661216,32:0,ROLI Piano ROLI Piano MIDI 1,225,0,64
2482.661225,32:0,ROLI Piano ROLI Piano MIDI 1,145,81,90
2482.672203,32:0,ROLI Piano ROLI Piano MIDI 1,226,0,64
2482.672205,32:0,ROLI Piano ROLI Piano MIDI 1,146,52,83
2482.674295,32:0,ROLI Piano ROLI Piano MIDI 1,227,0,64
2482.674297,32:0,ROLI Piano ROLI Piano MIDI 1,147,74,80
2482.677470,32:0,ROLI Piano ROLI Piano MIDI 1,228,0,64
2482.677473,32:0,ROLI Piano ROLI Piano MIDI 1,148,59,70
2482.862292,32:0,ROLI Piano ROLI Piano MIDI 1,210,0,0
2482.862296,32:0,ROLI Piano ROLI Piano MIDI 1,130,52,4
2482.864222,32:0,ROLI Piano ROLI Piano MIDI 1,212,0,0
2482.864224,32:0,ROLI Piano ROLI Piano MIDI 1,132,59,1
2482.888261,32:0,ROLI Piano ROLI Piano MIDI 1,211,0,0
2482.888263,32:0,ROLI Piano ROLI Piano MIDI 1,131,74,1
2482.901367,32:0,ROLI Piano ROLI Piano MIDI 1,209,0,0
2482.901369,32:0,ROLI Piano ROLI Piano MIDI 1,129,81,1
2483.086232,32:0,ROLI Piano ROLI Piano MIDI 1,148,59,78
2483.087310,32:0,ROLI Piano ROLI Piano MIDI 1,146,52,72
2483.122247,32:0,ROLI Piano ROLI Piano MIDI 1,145,81,108
2483.125218,32:0,ROLI Piano ROLI Piano MIDI 1,147,74,96
2483.204309,32:0,ROLI Piano ROLI Piano MIDI 1,212,1,0
2483.205303,32:0,ROLI Piano ROLI Piano MIDI 1,210,2,0
2483.224240,32:0,ROLI Piano ROLI Piano MIDI 1,212,3,0
2483.225314,32:0,ROLI Piano ROLI Piano MIDI 1,210,3,0
2483.245200,32:0,ROLI Piano ROLI Piano MIDI 1,210,2,0
2483.263215,32:0,ROLI Piano ROLI Piano MIDI 1,211,1,0
2483.265237,32:0,ROLI Piano ROLI Piano MIDI 1,210,4,0
2483.283240,32:0,ROLI Piano ROLI Piano MIDI 1,211,0,0
2483.284255,32:0,ROLI Piano ROLI Piano MIDI 1,212,0,0
2483.285110,32:0,ROLI Piano ROLI Piano MIDI 1,210,1,0
2483.305219,32:0,ROLI Piano ROLI Piano MIDI 1,210,0,0
2483.453321,32:0,ROLI Piano ROLI Piano MIDI 1,131,74,1
2483.459311,32:0,ROLI Piano ROLI Piano MIDI 1,132,59,1
2483.480365,32:0,ROLI Piano ROLI Piano MIDI 1,129,81,1
2483.484327,32:0,ROLI Piano ROLI Piano MIDI 1,130,52,1
2483.572138,32:0,ROLI Piano ROLI Piano MIDI 1,148,59,90
2483.580269,32:0,ROLI Piano ROLI Piano MIDI 1,146,52,65
2483.581396,32:0,ROLI Piano ROLI Piano MIDI 1,147,74,95
2483.590320,32:0,ROLI Piano ROLI Piano MIDI 1,145,81,1
2483.690365,32:0,ROLI Piano ROLI Piano MIDI 1,212,2,0
2483.698320,32:0,ROLI Piano ROLI Piano MIDI 1,210,5,0
2483.710238,32:0,ROLI Piano ROLI Piano MIDI 1,212,3,0
2483.718333,32:0,ROLI Piano ROLI Piano MIDI 1,210,2,0
2483.730335,32:0,ROLI Piano ROLI Piano MIDI 1,212,4,0
2483.731435,32:0,ROLI Piano ROLI Piano MIDI 1,227,107,63
2483.738418,32:0,ROLI Piano ROLI Piano MIDI 1,210,0,0
2483.739216,32:0,ROLI Piano ROLI Piano MIDI 1,227,90,63
2483.747255,32:0,ROLI Piano ROLI Piano MIDI 1,227,70,63
2483.750316,32:0,ROLI Piano ROLI Piano MIDI 1,212,2,0
2483.755314,32:0,ROLI Piano ROLI Piano MIDI 1,227,65,63
2483.771285,32:0,ROLI Piano ROLI Piano MIDI 1,227,77,63
2483.779311,32:0,ROLI Piano ROLI Piano MIDI 1,227,87,63
2483.787277,32:0,ROLI Piano ROLI Piano MIDI 1,227,96,63
2483.795158,32:0,ROLI Piano ROLI Piano MIDI 1,227,122,63
2483.803389,32:0,ROLI Piano ROLI Piano MIDI 1,227,0,64
2483.810332,32:0,ROLI Piano ROLI Piano MIDI 1,212,0,0
2483.834274,32:0,ROLI Piano ROLI Piano MIDI 1,129,81,1
2483.901331,32:0,ROLI Piano ROLI Piano MIDI 1,228,95,63
2483.902301,32:0,ROLI Piano ROLI Piano MIDI 1,131,74,1
2483.950284,32:0,ROLI Piano ROLI Piano MIDI 1,228,0,64
2483.950287,32:0,ROLI Piano ROLI Piano MIDI 1,132,59,1
2483.974321,32:0,ROLI Piano ROLI Piano MIDI 1,130,52,2
2484.065342,32:0,ROLI Piano ROLI Piano MIDI 1,146,77,71
2484.174341,32:0,ROLI Piano ROLI Piano MIDI 1,226,23,64
2484.179311,32:0,ROLI Piano ROLI Piano MIDI 1,226,117,64
2484.184294,32:0,ROLI Piano ROLI Piano MIDI 1,226,42,65
2484.240326,32:0,ROLI Piano ROLI Piano MIDI 1,210,7,0
2484.251338,32:0,ROLI Piano ROLI Piano MIDI 1,210,31,0
2484.262277,32:0,ROLI Piano ROLI Piano MIDI 1,210,66,0
2484.269417,32:0,ROLI Piano ROLI Piano MIDI 1,226,121,64
2484.273419,32:0,ROLI Piano ROLI Piano MIDI 1,210,98,0
2484.274268,32:0,ROLI Piano ROLI Piano MIDI 1,226,23,64
2484.279293,32:0,ROLI Piano ROLI Piano MIDI 1,226,0,64
2484.284459,32:0,ROLI Piano ROLI Piano MIDI 1,210,127,0
2484.304344,32:0,ROLI Piano ROLI Piano MIDI 1,226,98,63
2484.309409,32:0,ROLI Piano ROLI Piano MIDI 1,226,71,63
2484.314376,32:0,ROLI Piano ROLI Piano MIDI 1,226,51,63
2484.319430,32:0,ROLI Piano ROLI Piano MIDI 1,226,36,63
2484.324479,32:0,ROLI Piano ROLI Piano MIDI 1,226,33,63
2484.334468,32:0,ROLI Piano ROLI Piano MIDI 1,226,37,63
2484.339462,32:0,ROLI Piano ROLI Piano MIDI 1,226,51,63
2484.344443,32:0,ROLI Piano ROLI Piano MIDI 1,226,72,63
2484.349466,32:0,ROLI Piano ROLI Piano MIDI 1,226,100,63
2484.354433,32:0,ROLI Piano ROLI Piano MIDI 1,226,0,64
2484.389328,32:0,ROLI Piano ROLI Piano MIDI 1,226,59,64
2484.394337,32:0,ROLI Piano ROLI Piano MIDI 1,210,100,0
2484.394352,32:0,ROLI Piano ROLI Piano MIDI 1,226,0,65
2484.399399,32:0,ROLI Piano ROLI Piano MIDI 1,226,42,65
2484.405362,32:0,ROLI Piano ROLI Piano MIDI 1,210,69,0
2484.416400,32:0,ROLI Piano ROLI Piano MIDI 1,210,33,0
2484.427336,32:0,ROLI Piano ROLI Piano MIDI 1,210,0,0
2484.496294,32:0,ROLI Piano ROLI Piano MIDI 1,226,0,64
2484.496301,32:0,ROLI Piano ROLI Piano MIDI 1,130,77,1
2484.557471,32:0,ROLI Piano ROLI Piano MIDI 1,147,55,106
2484.671312,32:0,ROLI Piano ROLI Piano MIDI 1,227,120,63
2484.676282,32:0,ROLI Piano ROLI Piano MIDI 1,227,86,63
2484.681327,32:0,ROLI Piano ROLI Piano MIDI 1,227,54,63
2484.686272,32:0,ROLI Piano ROLI Piano MIDI 1,227,24,63
2484.691313,32:0,ROLI Piano ROLI Piano MIDI 1,227,122,62
2484.696403,32:0,ROLI Piano ROLI Piano MIDI 1,227,103,62
2484.699433,32:0,ROLI Piano ROLI Piano MIDI 1,211,6,0
2484.701395,32:0,ROLI Piano ROLI Piano MIDI 1,227,99,62
2484.706389,32:0,ROLI Piano ROLI Piano MIDI 1,227,104,62
2484.710313,32:0,ROLI Piano ROLI Piano MIDI 1,211,29,0
2484.711338,32:0,ROLI Piano ROLI Piano MIDI 1,227,14,63
2484.716376,32:0,ROLI Piano ROLI Piano MIDI 1,227,56,63
2484.721521,32:0,ROLI Piano ROLI Piano MIDI 1,211,63,0
2484.721536,32:0,ROLI Piano ROLI Piano MIDI 1,227,122,63
2484.726403,32:0,ROLI Piano ROLI Piano MIDI 1,227,0,64
2484.732407,32:0,ROLI Piano ROLI Piano MIDI 1,211,96,0
2484.743366,32:0,ROLI Piano ROLI Piano MIDI 1,211,122,0
2484.754404,32:0,ROLI Piano ROLI Piano MIDI 1,211,127,0
2484.864405,32:0,ROLI Piano ROLI Piano MIDI 1,211,125,0
2484.875359,32:0,ROLI Piano ROLI Piano MIDI 1,211,123,0
2484.897330,32:0,ROLI Piano ROLI Piano MIDI 1,211,122,0
2484.908343,32:0,ROLI Piano ROLI Piano MIDI 1,211,118,0
2484.919315,32:0,ROLI Piano ROLI Piano MIDI 1,211,107,0
2484.930327,32:0,ROLI Piano ROLI Piano MIDI 1,211,82,0
2484.941321,32:0,ROLI Piano ROLI Piano MIDI 1,211,47,0
2484.951341,32:0,ROLI Piano ROLI Piano MIDI 1,227,120,63
2484.952229,32:0,ROLI Piano ROLI Piano MIDI 1,211,6,0
2484.956182,32:0,ROLI Piano ROLI Piano MIDI 1,227,109,63
2484.961152,32:0,ROLI Piano ROLI Piano MIDI 1,227,97,63
2484.963192,32:0,ROLI Piano ROLI Piano MIDI 1,211,0,0
2484.966312,32:0,ROLI Piano ROLI Piano MIDI 1,227,70,63
2484.971481,32:0,ROLI Piano ROLI Piano MIDI 1,227,40,63
2484.976419,32:0,ROLI Piano ROLI Piano MIDI 1,227,17,63
2484.981406,32:0,ROLI Piano ROLI Piano MIDI 1,227,13,63
2484.986411,32:0,ROLI Piano ROLI Piano MIDI 1,227,8,63
2484.991395,32:0,ROLI Piano ROLI Piano MIDI 1,227,20,63
2484.996431,32:0,ROLI Piano ROLI Piano MIDI 1,227,21,63
2485.034330,32:0,ROLI Piano ROLI Piano MIDI 1,227,0,64
2485.034333,32:0,ROLI Piano ROLI Piano MIDI 1,131,55,1
2485.088488,32:0,ROLI Piano ROLI Piano MIDI 1,148,79,95
2485.219294,32:0,ROLI Piano ROLI Piano MIDI 1,212,45,0
2485.230466,32:0,ROLI Piano ROLI Piano MIDI 1,212,112,0
