t,status,d1,d2,src
106968.0583,176,101,0,2
106968.0583,176,100,6,2
106968.0583,176,6,15,2
106968.0583,176,101,127,2
106968.0583,176,100,127,2
106968.0583,177,101,0,2
106968.0583,177,100,0,2
106968.0583,177,6,48,2
106968.0583,177,101,127,2
106968.0583,177,100,127,2
106968.0583,178,101,0,2
106968.0583,178,100,0,2
106968.0583,178,6,48,2
106968.0583,178,101,127,2
106968.0583,178,100,127,2
106968.0583,179,101,0,2
106968.0583,179,100,0,2
106968.0583,179,6,48,2
106968.0583,179,101,127,2
106968.0583,179,100,127,2
106968.0583,180,101,0,2
106968.0583,180,100,0,2
106968.0583,180,6,48,2
106968.0583,180,101,127,2
106968.0583,180,100,127,2
106968.0583,181,101,0,2
106968.0583,181,100,0,2
106968.0583,181,6,48,2
106968.0583,181,101,127,2
106968.0583,181,100,127,2
106968.0583,182,101,0,2
106968.0583,182,100,0,2
106968.0583,182,6,48,2
106968.0583,182,101,127,2
106968.0583,182,100,127,2
106968.0583,183,101,0,2
106968.0583,183,100,0,2
106968.0583,183,6,48,2
106968.0583,183,101,127,2
106968.0583,183,100,127,2
106968.0583,184,101,0,2
106968.0583,184,100,0,2
106968.0583,184,6,48,2
106968.0583,184,101,127,2
106968.0583,184,100,127,2
106968.0583,185,101,0,2
106968.0583,185,100,0,2
106968.0583,185,6,48,2
106968.0583,185,101,127,2
106968.0583,185,100,127,2
106968.0583,186,101,0,2
106968.0583,186,100,0,2
106968.0583,186,6,48,2
106968.0583,186,101,127,2
106968.0583,186,100,127,2
106968.0583,187,101,0,2
106968.0583,187,100,0,2
106968.0583,187,6,48,2
106968.0583,187,101,127,2
106968.0583,187,100,127,2
106968.0583,188,101,0,2
106968.0583,188,100,0,2
106968.0583,188,6,48,2
106968.0583,188,101,127,2
106968.0583,188,100,127,2
106968.0583,189,101,0,2
106968.0583,189,100,0,2
106968.0583,189,6,48,2
106968.0583,189,101,127,2
106968.0583,189,100,127,2
106968.0583,190,101,0,2
106968.0583,190,100,0,2
106968.0583,190,6,48,2
106968.0583,190,101,127,2
106968.0583,190,100,127,2
106968.0583,191,101,0,2
106968.0583,191,100,0,2
106968.0583,191,6,48,2
106968.0583,191,101,127,2
106968.0583,191,100,127,2
106968.0583,224,0,64,3
106968.0583,176,1,0,3
106968.0583,176,23,0,3
106968.0583,176,24,0,3
106968.0583,176,64,0,3
106968.2367,176,101,0,2
106968.2367,176,100,6,2
106968.2367,176,6,15,2
106968.2367,176,101,127,2
106968.2367,176,100,127,2
106968.2367,177,101,0,2
106968.2367,177,100,0,2
106968.2367,177,6,48,2
106968.2367,177,101,127,2
106968.2367,177,100,127,2
106968.2367,178,101,0,2
106968.2367,178,100,0,2
106968.2367,178,6,48,2
106968.2367,178,101,127,2
106968.2367,178,100,127,2
106968.2367,179,101,0,2
