default (0.0005)             steps  147 | largest step 1.99 px (tail 0.73 px) | longest pause  9 frames (tail  9) | total 0.17087
0.004 (shipped)              steps   37 | largest step 4.08 px (tail 3.43 px) | longest pause 41 frames (tail 41) | total 0.17087
0.004 + wait <= 2            steps  121 | largest step 3.95 px (tail 1.45 px) | longest pause  2 frames (tail  2) | total 0.17087
0.004 + wait <= 3            steps   84 | largest step 4.08 px (tail 2.24 px) | longest pause  3 frames (tail  3) | total 0.17087
0.004 + wait <= 4            steps   68 | largest step 4.08 px (tail 2.96 px) | longest pause  4 frames (tail  4) | total 0.17087
0.004 + wait <= 6            steps   54 | largest step 4.08 px (tail 3.43 px) | longest pause  6 frames (tail  6) | total 0.17087
0.004 decaying               steps   95 | largest step 3.95 px (tail 1.45 px) | longest pause  9 frames (tail  9) | total 0.17087
0.004 decaying + wait <= 2   steps  121 | largest step 3.95 px (tail 1.45 px) | longest pause  2 frames (tail  2) | total 0.17087
0.004 decaying + wait <= 3   steps  105 | largest step 3.95 px (tail 1.45 px) | longest pause  3 frames (tail  3) | total 0.17087
0.004 decaying + wait <= 4   steps  100 | largest step 3.95 px (tail 1.45 px) | longest pause  4 frames (tail  4) | total 0.17087
0.008 decaying               steps   70 | largest step 5.88 px (tail 2.16 px) | longest pause  9 frames (tail  9) | total 0.17087
0.008 decaying               steps   70 | largest step 5.88 px (tail 2.16 px) | longest pause  9 frames (tail  9) | total 0.17087
0.008 + wait <= 3            steps   81 | largest step 5.88 px (tail 2.16 px) | longest pause  3 frames (tail  3) | total 0.17087
0.008 + wait <= 4            steps   61 | largest step 7.04 px (tail 2.96 px) | longest pause  4 frames (tail  4) | total 0.17087
0.008 decaying + wait <= 3   steps   81 | largest step 5.88 px (tail 2.16 px) | longest pause  3 frames (tail  3) | total 0.17087
0.008 decaying + wait <= 4   steps   75 | largest step 5.88 px (tail 2.16 px) | longest pause  4 frames (tail  4) | total 0.17087
0.006 decaying + wait <= 3   steps   81 | largest step 5.88 px (tail 2.16 px) | longest pause  3 frames (tail  3) | total 0.17087
0.006 decaying + wait <= 4   steps   75 | largest step 5.88 px (tail 2.16 px) | longest pause  4 frames (tail  4) | total 0.17087
0.004 (shipped)              steps   37 | largest step 4.08 px (tail 3.43 px) | longest pause 41 frames (tail 41) | total 0.17087
0.004 + wait <= 6            steps   54 | largest step 4.08 px (tail 3.43 px) | longest pause  6 frames (tail  6) | total 0.17087
0.004 + wait <= 8            steps   48 | largest step 4.08 px (tail 3.43 px) | longest pause  8 frames (tail  8) | total 0.17087
0.004 + wait <= 12           steps   42 | largest step 4.08 px (tail 3.43 px) | longest pause 12 frames (tail 12) | total 0.17087
0.004 decaying, floor 0.002  steps   57 | largest step 3.95 px (tail 2.02 px) | longest pause 29 frames (tail 29) | total 0.17087
0.004 decaying, floor 0.003  steps   46 | largest step 3.95 px (tail 2.68 px) | longest pause 31 frames (tail 31) | total 0.17087
0.004 decaying fl 0.002 + wait 8 steps   63 | largest step 3.95 px (tail 2.02 px) | longest pause  8 frames (tail  8) | total 0.17087
