# voxo 0.2.0 spike; device "Default Playback Device"; 48000 Hz; burst 192 frames; buffer 1536 frames; low_latency 1; output_latency_ms -3145309.25
kind,index,t_ref_s,t_callback_s,delta_ms
push,0,930268.059593,930268.060597,1.005
push,1,930268.210157,930268.212657,2.500
push,2,930268.360700,930268.360976,0.277
push,3,930268.511379,930268.512580,1.200
push,4,930268.662466,930268.664408,1.942
push,5,930268.813166,930268.816322,3.155
push,6,930268.963922,930268.964579,0.657
push,7,930269.115289,930269.116467,1.178
push,8,930269.266028,930269.268356,2.328
push,9,930269.416831,930269.420874,4.043
push,10,930269.567784,930269.568712,0.928
push,11,930269.718920,930269.720435,1.514
push,12,930269.869769,930269.872546,2.777
push,13,930270.020472,930270.024543,4.071
push,14,930270.171244,930270.172195,0.951
push,15,930270.321955,930270.324669,2.714
push,16,930270.472636,930270.476273,3.637
push,17,930270.623157,930270.624600,1.443
push,18,930270.773896,930270.776425,2.529
push,19,930270.924699,930270.928474,3.774
push,20,930271.075224,930271.076855,1.632
push,21,930271.226578,930271.228374,1.796
push,22,930271.377153,930271.380251,3.098
push,23,930271.527744,930271.528847,1.103
push,24,930271.679374,930271.680632,1.258
push,25,930271.830455,930271.832638,2.183
push,26,930271.980988,930271.984605,3.618
push,27,930272.131874,930272.132677,0.803
push,28,930272.283053,930272.284763,1.710
push,29,930272.433851,930272.436638,2.787
push,30,930272.584410,930272.588198,3.787
push,31,930272.735092,930272.736558,1.466
push,32,930272.886027,930272.888856,2.829
push,33,930273.037047,930273.040170,3.122
push,34,930273.187850,930273.188419,0.569
push,35,930273.338746,930273.340677,1.931
push,36,930273.489551,930273.492564,3.013
push,37,930273.640619,930273.641089,0.470
push,38,930273.791306,930273.792424,1.119
push,39,930273.941947,930273.944628,2.681
touch,0,930274.803758,930274.808679,4.922
touch,1,930275.891626,930275.896275,4.649
touch,2,930277.013131,930277.016923,3.792
touch,3,930278.138966,930278.144371,5.405
touch,4,930279.269712,930279.272461,2.749
touch,5,930280.397814,930280.400251,2.436
touch,6,930281.499926,930281.504238,4.313
touch,7,930282.601525,930282.604184,2.659
touch,8,930283.721368,930283.724166,2.798
touch,9,930284.832290,930284.836154,3.865
touch,10,930285.976520,930285.980754,4.234
touch,11,930287.199882,930287.204626,4.744
touch,12,930288.387427,930288.388637,1.209
touch,13,930289.500354,930289.504360,4.006
touch,14,930290.696098,930290.700789,4.691
touch,15,930291.800984,930291.804159,3.175
touch,16,930292.917813,930292.920654,2.841
touch,17,930294.027234,930294.032200,4.966
touch,18,930295.145415,930295.148283,2.867
touch,19,930296.268407,930296.272798,4.391
# end: 11645 callbacks, 1 voxo_xruns (proxy), 0 device_xruns (AAudio), render max 0.995 ms, burst 192, buffer 1536, low_latency 1, output_latency_ms 55.37, dropped 0, note_ons 89, touches 20
