# voxo 0.2.0 spike; device "Default Playback Device"; 48000 Hz; burst 192 frames; buffer 384 frames; low_latency 1; output_latency_ms 0.00
kind,index,t_ref_s,t_callback_s,delta_ms
push,0,930409.690247,930409.693427,3.180
push,1,930409.841075,930409.844894,3.819
push,2,930409.991848,930409.993070,1.222
push,3,930410.143470,930410.145276,1.807
push,4,930410.293897,930410.297689,3.792
push,5,930410.444409,930410.444906,0.497
push,6,930410.595348,930410.596899,1.551
push,7,930410.745915,930410.749135,3.220
push,8,930410.896397,930410.896843,0.446
push,9,930411.047179,930411.048905,1.725
push,10,930411.198056,930411.200900,2.844
push,11,930411.349160,930411.352832,3.673
push,12,930411.499756,930411.501088,1.332
push,13,930411.650664,930411.652965,2.302
push,14,930411.801108,930411.801117,0.009
push,15,930411.951990,930411.953146,1.157
push,16,930412.103583,930412.105127,1.544
push,17,930412.254268,930412.257329,3.061
push,18,930412.404964,930412.405057,0.093
push,19,930412.556372,930412.557529,1.157
push,20,930412.707341,930412.708999,1.658
push,21,930412.857894,930412.860953,3.059
push,22,930413.008643,930413.008996,0.353
push,23,930413.159431,930413.161528,2.097
push,24,930413.310239,930413.313131,2.892
push,25,930413.460956,930413.464768,3.811
push,26,930413.611579,930413.613046,1.467
push,27,930413.762350,930413.765765,3.416
push,28,930413.913358,930413.917107,3.748
push,29,930414.064190,930414.064880,0.690
push,30,930414.214783,930414.217085,2.302
push,31,930414.365492,930414.369534,4.042
push,32,930414.516141,930414.517436,1.295
push,33,930414.667430,930414.669260,1.830
push,34,930414.818076,930414.821062,2.987
push,35,930414.968749,930414.968884,0.134
push,36,930415.119534,930415.121326,1.792
push,37,930415.270795,930415.272840,2.045
push,38,930415.421389,930415.425111,3.722
push,39,930415.572091,930415.573077,0.986
touch,0,930416.440374,930416.445228,4.854
touch,1,930417.554638,930417.556931,2.293
touch,2,930418.667247,930418.668890,1.643
touch,3,930419.801665,930419.805041,3.375
touch,4,930420.937215,930420.941041,3.826
touch,5,930422.043376,930422.048723,5.347
touch,6,930423.162069,930423.165000,2.931
touch,7,930424.287163,930424.288772,1.609
touch,8,930425.408138,930425.408966,0.829
touch,9,930426.509604,930426.512877,3.273
touch,10,930427.618464,930427.621031,2.567
touch,11,930428.742676,930428.745363,2.687
touch,12,930429.859704,930429.865006,5.303
touch,13,930430.970843,930430.972853,2.010
touch,14,930432.091465,930432.097120,5.655
touch,15,930433.232917,930433.233548,0.631
touch,16,930434.347867,930434.352859,4.992
touch,17,930435.474278,930435.480844,6.565
touch,18,930436.599335,930436.601075,1.740
touch,19,930437.714035,930437.720885,6.850
# end: 11637 callbacks, 34 voxo_xruns (proxy), 0 device_xruns (AAudio), render max 1.041 ms, burst 192, buffer 384, low_latency 1, output_latency_ms 29.34, dropped 0, note_ons 89, touches 20
