# voxo 0.2.0 spike; device "Default Playback Device"; 48000 Hz; burst 128 frames; buffer 384 frames; low_latency 1; session rate 48000, io buffer 2.667 ms (128.0 frames), output latency 9.73 ms
kind,index,t_ref_s,t_callback_s,delta_ms
push,0,641506.908120,641506.910766,2.646
push,1,641507.068441,641507.070782,2.341
push,2,641507.227455,641507.228113,0.658
push,3,641507.381437,641507.382786,1.350
push,4,641507.541728,641507.542792,1.064
push,5,641507.699553,641507.700129,0.575
push,6,641507.856668,641507.857468,0.801
push,7,641508.016998,641508.017472,0.475
push,8,641508.172652,641508.174807,2.154
push,9,641508.329439,641508.329477,0.038
push,10,641508.489707,641508.492152,2.445
push,11,641508.649961,641508.652150,2.190
push,12,641508.810210,641508.812158,1.948
push,13,641508.970165,641508.972159,1.994
push,14,641509.128147,641509.129502,1.354
push,15,641509.288468,641509.289501,1.033
push,16,641509.444304,641509.446841,2.538
push,17,641509.604618,641509.606842,2.224
push,18,641509.760332,641509.761512,1.180
push,19,641509.920643,641509.921523,0.879
push,20,641510.077341,641510.078855,1.515
push,21,641510.233272,641510.233529,0.257
push,22,641510.393512,641510.393537,0.025
push,23,641510.552372,641510.553538,1.167
push,24,641510.709338,641510.710875,1.537
push,25,641510.864610,641510.865545,0.936
push,26,641511.017110,641511.017550,0.441
push,27,641511.171579,641511.172223,0.643
push,28,641511.330345,641511.332225,1.880
push,29,641511.490485,641511.492230,1.744
push,30,641511.650795,641511.652233,1.438
push,31,641511.811042,641511.812237,1.195
push,32,641511.971292,641511.972241,0.949
push,33,641512.126967,641512.129577,2.609
push,34,641512.287280,641512.289583,2.303
push,35,641512.446440,641512.446919,0.478
push,36,641512.602600,641512.604252,1.652
push,37,641512.758320,641512.758926,0.605
push,38,641512.918674,641512.918932,0.257
push,39,641513.073896,641513.076271,2.375
# storm started as load
# end: 17561 callbacks, 0 voxo_xruns (proxy), render max 0.039 ms, burst 128, buffer 384, low_latency 1, session io buffer 2.667 ms, output latency 9.73 ms, dropped 0, note_ons 76, touches 0
