# voxo 0.7.0 spike; device "Default Playback Device"; 48000 Hz; burst 192 frames; buffer 384 frames; low_latency 1; output_latency_ms 30.55
kind,index,t_ref_s,t_callback_s,delta_ms
push,0,970583.068509,970583.069525,1.016
push,1,970583.219323,970583.221802,2.478
push,2,970583.370555,970583.373896,3.340
push,3,970583.521140,970583.522075,0.935
push,4,970583.672205,970583.674029,1.823
push,5,970583.822894,970583.825519,2.625
push,6,970583.974029,970583.977616,3.587
push,7,970584.125421,970584.125907,0.486
push,8,970584.276460,970584.278575,2.115
push,9,970584.427212,970584.429835,2.623
push,10,970584.577956,970584.581771,3.815
push,11,970584.728788,970584.729801,1.013
push,12,970584.879789,970584.881598,1.809
push,13,970585.030456,970585.033627,3.171
push,14,970585.181023,970585.181586,0.563
push,15,970585.331833,970585.333708,1.876
push,16,970585.482730,970585.485665,2.935
push,17,970585.633344,970585.633572,0.228
push,18,970585.784609,970585.785570,0.962
push,19,970585.935280,970585.937895,2.615
push,20,970586.086006,970586.090054,4.047
push,21,970586.236465,970586.237635,1.170
push,22,970586.387458,970586.389615,2.157
push,23,970586.538059,970586.541618,3.558
push,24,970586.688739,970586.689666,0.927
push,25,970586.839249,970586.841601,2.352
push,26,970586.990068,970586.993546,3.478
push,27,970587.140778,970587.141543,0.765
push,28,970587.291543,970587.293661,2.118
push,29,970587.442134,970587.445803,3.669
push,30,970587.592747,970587.593947,1.199
push,31,970587.743751,970587.745628,1.877
push,32,970587.894516,970587.897615,3.099
push,33,970588.045174,970588.045774,0.600
push,34,970588.195871,970588.197558,1.687
push,35,970588.346633,970588.349587,2.954
push,36,970588.497198,970588.497588,0.390
push,37,970588.648411,970588.652739,4.329
push,38,970588.799019,970588.801789,2.771
push,39,970588.949563,970588.949962,0.398
touch,0,970589.908695,970589.909674,0.979
touch,1,970591.026223,970591.029898,3.675
touch,2,970592.147604,970592.149833,2.229
touch,3,970593.259721,970593.265566,5.845
touch,4,970594.373081,970594.377486,4.405
touch,5,970596.595068,970596.597585,2.517
touch,6,970597.715387,970597.717633,2.246
touch,7,970598.825411,970598.829822,4.411
touch,8,970601.063707,970601.065693,1.987
touch,9,970602.186094,970602.189711,3.617
touch,10,970603.317246,970603.321744,4.498
touch,11,970604.435038,970604.437705,2.667
touch,12,970605.566086,970605.569709,3.623
touch,13,970606.708618,970606.709951,1.333
touch,14,970607.834713,970607.837857,3.144
touch,15,970610.091820,970610.093750,1.930
touch,16,970611.227175,970611.229925,2.751
# end: 9749 callbacks, 25 voxo_xruns (proxy), 0 device_xruns (AAudio), render max 1.682 ms, burst 192, buffer 384, low_latency 1, output_latency_ms 28.66, dropped 0, note_ons 57, touches 17
